CT14nnlo	1.057 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
2.579960E-01	1.296765E+00	7.877681E-02	3.345603E-01	2.032410E-02
2.599800E-01	1.287068E+00	7.779185E-02	3.346119E-01	2.022432E-02
2.619639E-01	1.277394E+00	7.682049E-02	3.346311E-01	2.012420E-02
2.639479E-01	1.267737E+00	7.586383E-02	3.346166E-01	2.002410E-02
2.659319E-01	1.258106E+00	7.492190E-02	3.345706E-01	1.992412E-02
2.679158E-01	1.248507E+00	7.399389E-02	3.344947E-01	1.982414E-02
2.698998E-01	1.238938E+00	7.307913E-02	3.343892E-01	1.972404E-02
2.718838E-01	1.229400E+00	7.217691E-02	3.342539E-01	1.962373E-02
2.738677E-01	1.219892E+00	7.128679E-02	3.340892E-01	1.952315E-02
2.758517E-01	1.210418E+00	7.040939E-02	3.338958E-01	1.942255E-02
2.778357E-01	1.200975E+00	6.954397E-02	3.336736E-01	1.932180E-02
2.798196E-01	1.191562E+00	6.868947E-02	3.334225E-01	1.922066E-02
2.818036E-01	1.182180E+00	6.784467E-02	3.331425E-01	1.911887E-02
2.837876E-01	1.172832E+00	6.700851E-02	3.328353E-01	1.901618E-02
2.857715E-01	1.163525E+00	6.618205E-02	3.325024E-01	1.891295E-02
2.877555E-01	1.154255E+00	6.536720E-02	3.321431E-01	1.880977E-02
2.897395E-01	1.145018E+00	6.456571E-02	3.317570E-01	1.870724E-02
2.917234E-01	1.135813E+00	6.377913E-02	3.313433E-01	1.860587E-02
2.937074E-01	1.126643E+00	6.300459E-02	3.309034E-01	1.850492E-02
2.956914E-01	1.117509E+00	6.224197E-02	3.304376E-01	1.840442E-02
2.976754E-01	1.108406E+00	6.149411E-02	3.299453E-01	1.830528E-02
2.996593E-01	1.099334E+00	6.076362E-02	3.294257E-01	1.820839E-02
3.016433E-01	1.090289E+00	6.005291E-02	3.288784E-01	1.811456E-02
3.036273E-01	1.081278E+00	5.936307E-02	3.283054E-01	1.802425E-02
3.056112E-01	1.072303E+00	5.869197E-02	3.277078E-01	1.793692E-02
3.075952E-01	1.063365E+00	5.803700E-02	3.270858E-01	1.785190E-02
3.095792E-01	1.054462E+00	5.739557E-02	3.264395E-01	1.776847E-02
3.115631E-01	1.045595E+00	5.676515E-02	3.257688E-01	1.768593E-02
3.135471E-01	1.036764E+00	5.614753E-02	3.250743E-01	1.760489E-02
3.155311E-01	1.027969E+00	5.554448E-02	3.243562E-01	1.752601E-02
3.175150E-01	1.019210E+00	5.495326E-02	3.236146E-01	1.744848E-02
3.194990E-01	1.010486E+00	5.437110E-02	3.228493E-01	1.737151E-02
3.214830E-01	1.001796E+00	5.379531E-02	3.220604E-01	1.729427E-02
3.234669E-01	9.931417E-01	5.322441E-02	3.212485E-01	1.721634E-02
3.254509E-01	9.845277E-01	5.266062E-02	3.204154E-01	1.713845E-02
