# NNPDF30 NNLO Q=1.000
# x  w(x)  delta_w(x)
1.037528E-03  6.424948E-04  4.290491E-04
1.047129E-03  6.474496E-04  4.318666E-04
1.056818E-03  6.525468E-04  4.343859E-04
1.066596E-03  6.577814E-04  4.364415E-04
1.076465E-03  6.631463E-04  4.388841E-04
1.086426E-03  6.689864E-04  4.414944E-04
1.096478E-03  6.772517E-04  4.432699E-04
1.106624E-03  6.773074E-04  4.457819E-04
1.116863E-03  6.856957E-04  4.479437E-04
1.127197E-03  6.955053E-04  4.493314E-04
1.137627E-03  6.969225E-04  4.529426E-04
1.148154E-03  7.015094E-04  4.556636E-04
1.158777E-03  7.116083E-04  4.556261E-04
1.169499E-03  7.149897E-04  4.595582E-04
1.180321E-03  7.208250E-04  4.617256E-04
1.191242E-03  7.280338E-04  4.634961E-04
1.202264E-03  7.350968E-04  4.654755E-04
1.213389E-03  7.425937E-04  4.683358E-04
1.224616E-03  7.488474E-04  4.704047E-04
1.235947E-03  7.555025E-04  4.722874E-04
1.247384E-03  7.620163E-04  4.750668E-04
1.258925E-03  7.696426E-04  4.775512E-04
1.270574E-03  7.716977E-04  4.806936E-04
1.282331E-03  7.804701E-04  4.825848E-04
1.294196E-03  7.888933E-04  4.856131E-04
1.306171E-03  7.969694E-04  4.871515E-04
1.318257E-03  8.047028E-04  4.891184E-04
1.330454E-03  8.047932E-04  4.935188E-04
1.342765E-03  8.191709E-04  4.945733E-04
1.355189E-03  8.214351E-04  4.979508E-04
1.367729E-03  8.262503E-04  5.005455E-04
1.380384E-03  8.403659E-04  5.022417E-04
1.393157E-03  8.429686E-04  5.049421E-04
1.406048E-03  8.525418E-04  5.068869E-04
1.419058E-03  8.606325E-04  5.099234E-04
1.432188E-03  8.640965E-04  5.129755E-04
1.445440E-03  8.742414E-04  5.153224E-04
1.458814E-03  8.823833E-04  5.177818E-04
1.472313E-03  8.893507E-04  5.202162E-04
1.485936E-03  8.950905E-04  5.232307E-04
1.499685E-03  8.997167E-04  5.259782E-04
1.513561E-03  9.103935E-04  5.284814E-04
1.527566E-03  9.182736E-04  5.302464E-04
1.541700E-03  9.261878E-04  5.333926E-04
1.555966E-03  9.399362E-04  5.348557E-04
1.570363E-03  9.456766E-04  5.382071E-04
1.584893E-03  9.525023E-04  5.401120E-04
1.599558E-03  9.608557E-04  5.440225E-04
1.614359E-03  9.714725E-04  5.463626E-04
1.629296E-03  9.768036E-04  5.490742E-04
1.644372E-03  9.860663E-04  5.519148E-04
1.659587E-03  9.968458E-04  5.542440E-04
1.674943E-03  1.000549E-03  5.576487E-04
1.690441E-03  1.016514E-03  5.599122E-04
1.706082E-03  1.022585E-03  5.619748E-04
1.721869E-03  1.035666E-03  5.649536E-04
1.737801E-03  1.036227E-03  5.689893E-04
