NNPDF30_nnlo_as_0118	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
2.147830E-04	3.888545E+01	1.202413E+02	8.351936E-03	2.582580E-02
2.167704E-04	3.870066E+01	1.191174E+02	8.389159E-03	2.582112E-02
2.187762E-04	3.851692E+01	1.180015E+02	8.426584E-03	2.581591E-02
2.208005E-04	3.833420E+01	1.168941E+02	8.464209E-03	2.581027E-02
2.228435E-04	3.815248E+01	1.157955E+02	8.502032E-03	2.580428E-02
2.249055E-04	3.797174E+01	1.147060E+02	8.540052E-03	2.579802E-02
2.269865E-04	3.779198E+01	1.136260E+02	8.578268E-03	2.579157E-02
2.290868E-04	3.761316E+01	1.125557E+02	8.616677E-03	2.578502E-02
2.312065E-04	3.743527E+01	1.114954E+02	8.655278E-03	2.577845E-02
2.333458E-04	3.725831E+01	1.104453E+02	8.694070E-03	2.577194E-02
2.355049E-04	3.708224E+01	1.094056E+02	8.733051E-03	2.576557E-02
2.376840E-04	3.690706E+01	1.083767E+02	8.772219E-03	2.575941E-02
2.398833E-04	3.673275E+01	1.073586E+02	8.811573E-03	2.575353E-02
2.421029E-04	3.655929E+01	1.063515E+02	8.851111E-03	2.574800E-02
2.443431E-04	3.638668E+01	1.053555E+02	8.890833E-03	2.574289E-02
2.466039E-04	3.621489E+01	1.043708E+02	8.930735E-03	2.573826E-02
2.488857E-04	3.604392E+01	1.033975E+02	8.970817E-03	2.573417E-02
2.511886E-04	3.587375E+01	1.024357E+02	9.011078E-03	2.573068E-02
2.535129E-04	3.570436E+01	1.014853E+02	9.051515E-03	2.572782E-02
2.558586E-04	3.553575E+01	1.005464E+02	9.092127E-03	2.572566E-02
2.582260E-04	3.536790E+01	9.961905E+01	9.132913E-03	2.572423E-02
2.606154E-04	3.520080E+01	9.870319E+01	9.173870E-03	2.572357E-02
2.630268E-04	3.503445E+01	9.779880E+01	9.214998E-03	2.572371E-02
2.654606E-04	3.486882E+01	9.690582E+01	9.256295E-03	2.572467E-02
2.679168E-04	3.470390E+01	9.602417E+01	9.297759E-03	2.572649E-02
