model:0	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.629296E-04  1.582098E-02  9.305815E-03  1.582098E-02  9.305815E-03  -3.457080E-10  0.000000E+00  0.000000E+00  -1.894689E-08  -3.141811E-10  -3.157777E-10  -3.185600E-10  0.000000E+00  0.000000E+00
1.644372E-04  1.589428E-02  9.348922E-03  1.589428E-02  9.348922E-03  -3.444476E-10  0.000000E+00  0.000000E+00  -1.888837E-08  -3.127935E-10  -3.144028E-10  -3.172043E-10  0.000000E+00  0.000000E+00
1.659587E-04  1.596792E-02  9.392230E-03  1.596792E-02  9.392230E-03  -3.431888E-10  0.000000E+00  0.000000E+00  -1.882949E-08  -3.114071E-10  -3.130292E-10  -3.158500E-10  0.000000E+00  0.000000E+00
1.674943E-04  1.604190E-02  9.435740E-03  1.604190E-02  9.435740E-03  -3.419316E-10  0.000000E+00  0.000000E+00  -1.877023E-08  -3.100220E-10  -3.116570E-10  -3.144972E-10  0.000000E+00  0.000000E+00
1.690441E-04  1.611623E-02  9.479452E-03  1.611623E-02  9.479452E-03  -3.406760E-10  0.000000E+00  0.000000E+00  -1.871062E-08  -3.086382E-10  -3.102861E-10  -3.131459E-10  0.000000E+00  0.000000E+00
1.706082E-04  1.619090E-02  9.523369E-03  1.619090E-02  9.523369E-03  -3.394219E-10  0.000000E+00  0.000000E+00  -1.865065E-08  -3.072556E-10  -3.089166E-10  -3.117960E-10  0.000000E+00  0.000000E+00
1.721869E-04  1.626593E-02  9.567490E-03  1.626593E-02  9.567490E-03  -3.381694E-10  0.000000E+00  0.000000E+00  -1.859032E-08  -3.058744E-10  -3.075485E-10  -3.104477E-10  0.000000E+00  0.000000E+00
1.737801E-04  1.634130E-02  9.611817E-03  1.634130E-02  9.611816E-03  -3.369184E-10  0.000000E+00  0.000000E+00  -1.852964E-08  -3.044944E-10  -3.061818E-10  -3.091008E-10  0.000000E+00  0.000000E+00
1.753881E-04  1.641702E-02  9.656350E-03  1.641702E-02  9.656350E-03  -3.356690E-10  0.000000E+00  0.000000E+00  -1.846860E-08  -3.031157E-10  -3.048164E-10  -3.077555E-10  0.000000E+00  0.000000E+00
1.770109E-04  1.649310E-02  9.701091E-03  1.649310E-02  9.701091E-03  -3.344212E-10  0.000000E+00  0.000000E+00  -1.840721E-08  -3.017382E-10  -3.034524E-10  -3.064116E-10  0.000000E+00  0.000000E+00
1.786488E-04  1.656953E-02  9.746041E-03  1.656953E-02  9.746041E-03  -3.331750E-10  0.000000E+00  0.000000E+00  -1.834547E-08  -3.003621E-10  -3.020898E-10  -3.050693E-10  0.000000E+00  0.000000E+00
1.803018E-04  1.664632E-02  9.791201E-03  1.664632E-02  9.791200E-03  -3.319303E-10  0.000000E+00  0.000000E+00  -1.828339E-08  -2.989873E-10  -3.007286E-10  -3.037284E-10  0.000000E+00  0.000000E+00
1.819701E-04  1.672347E-02  9.836571E-03  1.672347E-02  9.836571E-03  -3.306872E-10  0.000000E+00  0.000000E+00  -1.822096E-08  -2.976137E-10  -2.993687E-10  -3.023891E-10  0.000000E+00  0.000000E+00
1.836538E-04  1.680097E-02  9.882153E-03  1.680097E-02  9.882152E-03  -3.294457E-10  0.000000E+00  0.000000E+00  -1.815819E-08  -2.962415E-10  -2.980103E-10  -3.010512E-10  0.000000E+00  0.000000E+00
1.853532E-04  1.687884E-02  9.927947E-03  1.687884E-02  9.927947E-03  -3.282058E-10  0.000000E+00  0.000000E+00  -1.809508E-08  -2.948705E-10  -2.966532E-10  -2.997149E-10  0.000000E+00  0.000000E+00
1.870682E-04  1.695707E-02  9.973955E-03  1.695707E-02  9.973955E-03  -3.269674E-10  0.000000E+00  0.000000E+00  -1.803163E-08  -2.935008E-10  -2.952976E-10  -2.983801E-10  0.000000E+00  0.000000E+00
1.887991E-04  1.703567E-02  1.002018E-02  1.703567E-02  1.002018E-02  -3.257306E-10  0.000000E+00  0.000000E+00  -1.796785E-08  -2.921325E-10  -2.939433E-10  -2.970468E-10  0.000000E+00  0.000000E+00
1.905461E-04  1.711464E-02  1.006662E-02  1.711464E-02  1.006662E-02  -3.244954E-10  0.000000E+00  0.000000E+00  -1.790373E-08  -2.907654E-10  -2.925905E-10  -2.957151E-10  0.000000E+00  0.000000E+00
1.923092E-04  1.719397E-02  1.011327E-02  1.719397E-02  1.011327E-02  -3.232618E-10  0.000000E+00  0.000000E+00  -1.783928E-08  -2.893997E-10  -2.912390E-10  -2.943848E-10  0.000000E+00  0.000000E+00
1.940886E-04  1.727367E-02  1.016014E-02  1.727367E-02  1.016014E-02  -3.220297E-10  0.000000E+00  0.000000E+00  -1.777451E-08  -2.880353E-10  -2.898890E-10  -2.930562E-10  0.000000E+00  0.000000E+00
1.958845E-04  1.735375E-02  1.020724E-02  1.735375E-02  1.020724E-02  -3.207993E-10  0.000000E+00  0.000000E+00  -1.770940E-08  -2.866721E-10  -2.885403E-10  -2.917290E-10  0.000000E+00  0.000000E+00
1.976970E-04  1.743420E-02  1.025455E-02  1.743420E-02  1.025455E-02  -3.195704E-10  0.000000E+00  0.000000E+00  -1.764397E-08  -2.853103E-10  -2.871931E-10  -2.904034E-10  0.000000E+00  0.000000E+00
1.995262E-04  1.751502E-02  1.030208E-02  1.751502E-02  1.030208E-02  -3.183431E-10  0.000000E+00  0.000000E+00  -1.757822E-08  -2.839499E-10  -2.858473E-10  -2.890793E-10  0.000000E+00  0.000000E+00
2.013724E-04  1.759623E-02  1.034983E-02  1.759623E-02  1.034983E-02  -3.171174E-10  0.000000E+00  0.000000E+00  -1.751215E-08  -2.825907E-10  -2.845030E-10  -2.877568E-10  0.000000E+00  0.000000E+00
2.032357E-04  1.767781E-02  1.039781E-02  1.767781E-02  1.039781E-02  -3.158933E-10  0.000000E+00  0.000000E+00  -1.744576E-08  -2.812329E-10  -2.831600E-10  -2.864359E-10  0.000000E+00  0.000000E+00
2.051162E-04  1.775977E-02  1.044601E-02  1.775977E-02  1.044601E-02  -3.146708E-10  0.000000E+00  0.000000E+00  -1.737905E-08  -2.798764E-10  -2.818185E-10  -2.851165E-10  0.000000E+00  0.000000E+00
2.070141E-04  1.784212E-02  1.049444E-02  1.784212E-02  1.049444E-02  -3.134499E-10  0.000000E+00  0.000000E+00  -1.731203E-08  -2.785212E-10  -2.804785E-10  -2.837987E-10  0.000000E+00  0.000000E+00
2.089296E-04  1.792485E-02  1.054309E-02  1.792485E-02  1.054309E-02  -3.122306E-10  0.000000E+00  0.000000E+00  -1.724470E-08  -2.771674E-10  -2.791398E-10  -2.824825E-10  0.000000E+00  0.000000E+00
2.108628E-04  1.800797E-02  1.059197E-02  1.800797E-02  1.059197E-02  -3.110129E-10  0.000000E+00  0.000000E+00  -1.717706E-08  -2.758149E-10  -2.778027E-10  -2.811678E-10  0.000000E+00  0.000000E+00
2.128139E-04  1.809147E-02  1.064108E-02  1.809147E-02  1.064108E-02  -3.097968E-10  0.000000E+00  0.000000E+00  -1.710911E-08  -2.744638E-10  -2.764670E-10  -2.798547E-10  0.000000E+00  0.000000E+00
2.147830E-04  1.817537E-02  1.069042E-02  1.817537E-02  1.069042E-02  -3.085823E-10  0.000000E+00  0.000000E+00  -1.704086E-08  -2.731141E-10  -2.751327E-10  -2.785432E-10  0.000000E+00  0.000000E+00
2.167704E-04  1.825966E-02  1.073998E-02  1.825966E-02  1.073998E-02  -3.073694E-10  0.000000E+00  0.000000E+00  -1.697231E-08  -2.717656E-10  -2.737999E-10  -2.772333E-10  0.000000E+00  0.000000E+00
2.187762E-04  1.834434E-02  1.078978E-02  1.834434E-02  1.078978E-02  -3.061581E-10  0.000000E+00  0.000000E+00  -1.690345E-08  -2.704186E-10  -2.724686E-10  -2.759250E-10  0.000000E+00  0.000000E+00
2.208005E-04  1.842942E-02  1.083982E-02  1.842942E-02  1.083982E-02  -3.049485E-10  0.000000E+00  0.000000E+00  -1.683430E-08  -2.690729E-10  -2.711387E-10  -2.746184E-10  0.000000E+00  0.000000E+00
2.228435E-04  1.851490E-02  1.089008E-02  1.851490E-02  1.089008E-02  -3.037405E-10  0.000000E+00  0.000000E+00  -1.676485E-08  -2.677286E-10  -2.698103E-10  -2.733133E-10  0.000000E+00  0.000000E+00
2.249055E-04  1.860077E-02  1.094058E-02  1.860077E-02  1.094058E-02  -3.025340E-10  0.000000E+00  0.000000E+00  -1.669511E-08  -2.663857E-10  -2.684835E-10  -2.720098E-10  0.000000E+00  0.000000E+00
2.269865E-04  1.868705E-02  1.099132E-02  1.868705E-02  1.099132E-02  -3.013293E-10  0.000000E+00  0.000000E+00  -1.662508E-08  -2.650441E-10  -2.671581E-10  -2.707080E-10  0.000000E+00  0.000000E+00
2.290868E-04  1.877373E-02  1.104229E-02  1.877373E-02  1.104229E-02  -3.001261E-10  0.000000E+00  0.000000E+00  -1.655476E-08  -2.637040E-10  -2.658342E-10  -2.694078E-10  0.000000E+00  0.000000E+00
2.312065E-04  1.886082E-02  1.109351E-02  1.886082E-02  1.109351E-02  -2.989246E-10  0.000000E+00  0.000000E+00  -1.648415E-08  -2.623652E-10  -2.645118E-10  -2.681093E-10  0.000000E+00  0.000000E+00
2.333458E-04  1.894831E-02  1.114496E-02  1.894831E-02  1.114496E-02  -2.977247E-10  0.000000E+00  0.000000E+00  -1.641326E-08  -2.610278E-10  -2.631909E-10  -2.668124E-10  0.000000E+00  0.000000E+00
2.355049E-04  1.903622E-02  1.119665E-02  1.903622E-02  1.119665E-02  -2.965265E-10  0.000000E+00  0.000000E+00  -1.634208E-08  -2.596919E-10  -2.618715E-10  -2.655171E-10  0.000000E+00  0.000000E+00
2.376840E-04  1.912453E-02  1.124859E-02  1.912453E-02  1.124859E-02  -2.953299E-10  0.000000E+00  0.000000E+00  -1.627063E-08  -2.583573E-10  -2.605536E-10  -2.642235E-10  0.000000E+00  0.000000E+00
2.398833E-04  1.921326E-02  1.130076E-02  1.921326E-02  1.130076E-02  -2.941349E-10  0.000000E+00  0.000000E+00  -1.619890E-08  -2.570242E-10  -2.592373E-10  -2.629316E-10  0.000000E+00  0.000000E+00
2.421029E-04  1.930241E-02  1.135318E-02  1.930241E-02  1.135318E-02  -2.929416E-10  0.000000E+00  0.000000E+00  -1.612689E-08  -2.556925E-10  -2.579225E-10  -2.616413E-10  0.000000E+00  0.000000E+00
2.443431E-04  1.939197E-02  1.140585E-02  1.939197E-02  1.140585E-02  -2.917500E-10  0.000000E+00  0.000000E+00  -1.605461E-08  -2.543622E-10  -2.566093E-10  -2.603527E-10  0.000000E+00  0.000000E+00
2.466039E-04  1.948195E-02  1.145876E-02  1.948195E-02  1.145876E-02  -2.905600E-10  0.000000E+00  0.000000E+00  -1.598206E-08  -2.530333E-10  -2.552976E-10  -2.590658E-10  0.000000E+00  0.000000E+00
2.488857E-04  1.957235E-02  1.151192E-02  1.957235E-02  1.151192E-02  -2.893717E-10  0.000000E+00  0.000000E+00  -1.590925E-08  -2.517059E-10  -2.539874E-10  -2.577806E-10  0.000000E+00  0.000000E+00
2.511886E-04  1.966317E-02  1.156533E-02  1.966317E-02  1.156533E-02  -2.881851E-10  0.000000E+00  0.000000E+00  -1.583616E-08  -2.503799E-10  -2.526788E-10  -2.564972E-10  0.000000E+00  0.000000E+00
2.535129E-04  1.975442E-02  1.161899E-02  1.975442E-02  1.161899E-02  -2.870001E-10  0.000000E+00  0.000000E+00  -1.576282E-08  -2.490554E-10  -2.513718E-10  -2.552154E-10  0.000000E+00  0.000000E+00
2.558586E-04  1.984610E-02  1.167290E-02  1.984610E-02  1.167290E-02  -2.858168E-10  0.000000E+00  0.000000E+00  -1.568921E-08  -2.477324E-10  -2.500664E-10  -2.539353E-10  0.000000E+00  0.000000E+00
2.582260E-04  1.993821E-02  1.172707E-02  1.993821E-02  1.172707E-02  -2.846352E-10  0.000000E+00  0.000000E+00  -1.561534E-08  -2.464108E-10  -2.487625E-10  -2.526570E-10  0.000000E+00  0.000000E+00
2.606154E-04  2.003074E-02  1.178148E-02  2.003074E-02  1.178148E-02  -2.834553E-10  0.000000E+00  0.000000E+00  -1.554122E-08  -2.450907E-10  -2.474603E-10  -2.513804E-10  0.000000E+00  0.000000E+00
