CT14nlo	10.00 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.235947E-04  1.361072E-02  7.944056E-03  9.341327E-01  8.357085E-01  7.016805E-01  4.119088E-01  0.000000E+00  1.289888E+01  9.205220E-01  8.277644E-01  7.016805E-01  4.119088E-01  0.000000E+00  -9.275761E-02  5.799367E-03  3.311721E-03  1.200539E-01  1.568591E-01  4.968251E-01  9.023142E-02  0.000000E+00  4.982455E+00  1.210676E-01  1.569649E-01  4.968251E-01  9.023142E-02  0.000000E+00  1.188606E-01
1.247384E-04  1.369142E-02  7.991149E-03  9.324361E-01  8.338957E-01  7.003641E-01  4.110874E-01  0.000000E+00  1.287478E+01  9.187447E-01  8.259046E-01  7.003641E-01  4.110874E-01  0.000000E+00  -9.284008E-02  5.821349E-03  3.324129E-03  1.195432E-01  1.564649E-01  4.947372E-01  8.949198E-02  0.000000E+00  4.938434E+00  1.205651E-01  1.565712E-01  4.947372E-01  8.949198E-02  0.000000E+00  1.189107E-01
1.258925E-04  1.377253E-02  8.038488E-03  9.307424E-01  8.320865E-01  6.990496E-01  4.102672E-01  0.000000E+00  1.285073E+01  9.169699E-01  8.240480E-01  6.990496E-01  4.102672E-01  0.000000E+00  -9.292191E-02  5.843391E-03  3.336573E-03  1.190385E-01  1.560747E-01  4.926591E-01  8.876090E-02  0.000000E+00  4.894884E+00  1.200687E-01  1.561814E-01  4.926591E-01  8.876090E-02  0.000000E+00  1.189602E-01
1.270574E-04  1.385407E-02  8.086077E-03  9.290519E-01  8.302808E-01  6.977372E-01  4.094482E-01  0.000000E+00  1.282672E+01  9.151978E-01  8.221947E-01  6.977372E-01  4.094482E-01  0.000000E+00  -9.300309E-02  5.865492E-03  3.349051E-03  1.185398E-01  1.556883E-01  4.905906E-01  8.803802E-02  0.000000E+00  4.851794E+00  1.195781E-01  1.557953E-01  4.905906E-01  8.803802E-02  0.000000E+00  1.190090E-01
1.282331E-04  1.393603E-02  8.133920E-03  9.273643E-01  8.284786E-01  6.964267E-01  4.086304E-01  0.000000E+00  1.280275E+01  9.134283E-01  8.203447E-01  6.964267E-01  4.086304E-01  0.000000E+00  -9.308359E-02  5.887652E-03  3.361563E-03  1.180467E-01  1.553056E-01  4.885317E-01  8.732317E-02  0.000000E+00  4.809156E+00  1.190933E-01  1.554130E-01  4.885317E-01  8.732317E-02  0.000000E+00  1.190571E-01
1.294196E-04  1.401843E-02  8.182021E-03  9.256798E-01  8.266800E-01  6.951183E-01  4.078138E-01  0.000000E+00  1.277883E+01  9.116614E-01  8.184980E-01  6.951183E-01  4.078138E-01  0.000000E+00  -9.316340E-02  5.909869E-03  3.374108E-03  1.175593E-01  1.549265E-01  4.864823E-01  8.661621E-02  0.000000E+00  4.766960E+00  1.186141E-01  1.550343E-01  4.864823E-01  8.661621E-02  0.000000E+00  1.191045E-01
1.306171E-04  1.410128E-02  8.230384E-03  9.239983E-01  8.248850E-01  6.938119E-01  4.069983E-01  0.000000E+00  1.275494E+01  9.098971E-01  8.166546E-01  6.938119E-01  4.069983E-01  0.000000E+00  -9.324248E-02  5.932143E-03  3.386685E-03  1.170774E-01  1.545509E-01  4.844422E-01  8.591696E-02  0.000000E+00  4.725197E+00  1.181404E-01  1.546591E-01  4.844422E-01  8.591696E-02  0.000000E+00  1.191512E-01
1.318257E-04  1.418458E-02  8.279013E-03  9.223199E-01  8.230935E-01  6.925074E-01  4.061840E-01  0.000000E+00  1.273110E+01  9.081353E-01  8.148145E-01  6.925074E-01  4.061840E-01  0.000000E+00  -9.332083E-02  5.954473E-03  3.399295E-03  1.166009E-01  1.541788E-01  4.824113E-01  8.522526E-02  0.000000E+00  4.683857E+00  1.176721E-01  1.542873E-01  4.824113E-01  8.522526E-02  0.000000E+00  1.191971E-01
1.330454E-04  1.426835E-02  8.327913E-03  9.206445E-01  8.213057E-01  6.912049E-01  4.053709E-01  0.000000E+00  1.270730E+01  9.063762E-01  8.129777E-01  6.912049E-01  4.053709E-01  0.000000E+00  -9.339841E-02  5.976857E-03  3.411935E-03  1.161296E-01  1.538099E-01  4.803896E-01  8.454097E-02  0.000000E+00  4.642931E+00  1.172090E-01  1.539187E-01  4.803896E-01  8.454097E-02  0.000000E+00  1.192423E-01
1.342765E-04  1.435258E-02  8.377086E-03  9.189721E-01  8.195214E-01  6.899044E-01  4.045589E-01  0.000000E+00  1.268354E+01  9.046195E-01  8.111443E-01  6.899044E-01  4.045589E-01  0.000000E+00  -9.347522E-02  5.999296E-03  3.424606E-03  1.156634E-01  1.534442E-01  4.783769E-01  8.386392E-02  0.000000E+00  4.602409E+00  1.167511E-01  1.535533E-01  4.783769E-01  8.386392E-02  0.000000E+00  1.192868E-01
