MMHT2014nnlo68cl	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
1.548297E-01	2.097833E+00	8.205111E-02	3.248067E-01	1.270395E-02
1.568136E-01	2.084135E+00	8.057999E-02	3.268208E-01	1.263604E-02
1.587976E-01	2.070547E+00	7.914204E-02	3.287979E-01	1.256757E-02
1.607816E-01	2.057056E+00	7.773808E-02	3.307368E-01	1.249885E-02
1.627655E-01	2.043651E+00	7.636863E-02	3.326360E-01	1.243018E-02
1.647495E-01	2.030321E+00	7.503395E-02	3.344944E-01	1.236181E-02
1.667335E-01	2.017057E+00	7.373411E-02	3.363109E-01	1.229394E-02
1.687174E-01	2.003851E+00	7.246896E-02	3.380846E-01	1.222678E-02
1.707014E-01	1.990696E+00	7.123819E-02	3.398147E-01	1.216046E-02
1.726854E-01	1.977587E+00	7.004133E-02	3.415004E-01	1.209511E-02
1.746693E-01	1.964518E+00	6.887781E-02	3.431410E-01	1.203084E-02
1.766533E-01	1.951510E+00	6.774369E-02	3.447407E-01	1.196715E-02
1.786373E-01	1.938606E+00	6.663337E-02	3.463073E-01	1.190320E-02
1.806212E-01	1.925798E+00	6.554779E-02	3.478400E-01	1.183932E-02
1.826052E-01	1.913076E+00	6.448781E-02	3.493376E-01	1.177581E-02
1.845892E-01	1.900433E+00	6.345406E-02	3.507994E-01	1.171293E-02
1.865731E-01	1.887863E+00	6.244700E-02	3.522246E-01	1.165093E-02
1.885571E-01	1.875359E+00	6.146691E-02	3.536123E-01	1.159002E-02
1.905411E-01	1.862916E+00	6.051390E-02	3.549620E-01	1.153038E-02
1.925251E-01	1.850528E+00	5.958794E-02	3.562730E-01	1.147217E-02
1.945090E-01	1.838191E+00	5.868887E-02	3.575448E-01	1.141551E-02
1.964930E-01	1.825902E+00	5.781641E-02	3.587769E-01	1.136052E-02
1.984770E-01	1.813656E+00	5.697018E-02	3.599690E-01	1.130727E-02
2.004609E-01	1.801452E+00	5.614955E-02	3.611208E-01	1.125579E-02
2.024449E-01	1.789317E+00	5.535040E-02	3.622381E-01	1.120540E-02
2.044289E-01	1.777258E+00	5.457148E-02	3.633229E-01	1.115599E-02
2.064128E-01	1.765271E+00	5.381325E-02	3.643746E-01	1.110774E-02
2.083968E-01	1.753352E+00	5.307598E-02	3.653929E-01	1.106086E-02
2.103808E-01	1.741496E+00	5.235984E-02	3.663773E-01	1.101550E-02
2.123647E-01	1.729701E+00	5.166491E-02	3.673275E-01	1.097180E-02
2.143487E-01	1.717963E+00	5.099111E-02	3.682431E-01	1.092988E-02
2.163327E-01	1.706279E+00	5.033831E-02	3.691238E-01	1.088982E-02
2.183166E-01	1.694646E+00	4.970625E-02	3.699694E-01	1.085170E-02
2.203006E-01	1.683062E+00	4.909461E-02	3.707796E-01	1.081557E-02
2.222846E-01	1.671525E+00	4.850300E-02	3.715543E-01	1.078147E-02
2.242685E-01	1.660033E+00	4.793096E-02	3.722933E-01	1.074941E-02
2.262525E-01	1.648590E+00	4.737737E-02	3.729976E-01	1.071925E-02
2.282365E-01	1.637212E+00	4.683986E-02	3.736716E-01	1.069057E-02
2.302204E-01	1.625899E+00	4.631845E-02	3.743152E-01	1.066346E-02
2.322044E-01	1.614647E+00	4.581326E-02	3.749281E-01	1.063804E-02
2.341884E-01	1.603452E+00	4.532428E-02	3.755099E-01	1.061442E-02
2.361723E-01	1.592313E+00	4.485141E-02	3.760604E-01	1.059266E-02
