# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
5.058247E-04  1.249071E-04  8.728618E-05
5.105050E-04  1.265446E-04  8.999532E-05
5.152286E-04  1.293810E-04  9.123035E-05
5.199960E-04  1.303475E-04  9.059678E-05
5.248075E-04  1.300307E-04  9.118488E-05
5.296634E-04  1.313167E-04  9.170659E-05
5.345644E-04  1.360479E-04  9.509759E-05
5.395106E-04  1.371545E-04  9.595093E-05
5.445027E-04  1.382945E-04  9.693133E-05
5.495409E-04  1.381445E-04  9.620478E-05
5.546257E-04  1.431186E-04  9.971118E-05
5.597576E-04  1.445984E-04  9.874831E-05
5.649370E-04  1.461098E-04  1.008052E-04
5.701643E-04  1.479504E-04  1.013122E-04
5.754399E-04  1.471537E-04  1.015763E-04
5.807644E-04  1.492218E-04  1.028530E-04
5.861382E-04  1.513859E-04  1.028398E-04
5.915616E-04  1.536504E-04  1.033452E-04
5.970353E-04  1.560198E-04  1.058589E-04
6.025596E-04  1.584988E-04  1.076248E-04
6.081350E-04  1.582832E-04  1.082733E-04
6.137620E-04  1.609614E-04  1.098775E-04
6.194411E-04  1.629975E-04  1.113755E-04
6.251727E-04  1.649403E-04  1.129487E-04
6.309573E-04  1.669453E-04  1.125129E-04
6.367955E-04  1.690153E-04  1.144674E-04
6.426877E-04  1.711104E-04  1.164601E-04
6.486344E-04  1.731313E-04  1.170501E-04
6.546362E-04  1.757288E-04  1.194202E-04
6.606934E-04  1.780016E-04  1.190793E-04
6.668068E-04  1.804336E-04  1.208097E-04
6.729767E-04  1.829403E-04  1.243338E-04
6.792036E-04  1.855246E-04  1.239192E-04
6.854882E-04  1.874277E-04  1.251299E-04
6.918310E-04  1.886593E-04  1.257023E-04
6.982324E-04  1.930261E-04  1.283485E-04
7.046931E-04  1.923912E-04  1.276035E-04
7.112135E-04  1.971262E-04  1.301197E-04
7.177943E-04  1.966584E-04  1.304186E-04
7.244360E-04  2.011825E-04  1.327694E-04
7.311391E-04  2.035685E-04  1.329908E-04
7.379042E-04  2.040410E-04  1.351687E-04
7.447320E-04  2.105281E-04  1.378800E-04
7.516229E-04  2.137293E-04  1.394812E-04
7.585776E-04  2.137177E-04  1.400966E-04
7.655966E-04  2.147260E-04  1.410491E-04
7.726806E-04  2.182246E-04  1.423925E-04
7.798301E-04  2.211164E-04  1.428004E-04
7.870458E-04  2.247975E-04  1.458712E-04
7.943282E-04  2.252764E-04  1.458738E-04
8.016781E-04  2.294812E-04  1.486797E-04
8.090959E-04  2.303508E-04  1.482261E-04
8.165824E-04  2.331551E-04  1.498317E-04
8.241381E-04  2.387612E-04  1.546197E-04
8.317638E-04  2.408898E-04  1.553770E-04
8.394600E-04  2.430645E-04  1.550694E-04
8.472274E-04  2.452849E-04  1.574395E-04
8.550667E-04  2.495688E-04  1.593471E-04
8.629785E-04  2.515087E-04  1.591518E-04
8.709636E-04  2.540565E-04  1.606333E-04
8.790225E-04  2.573286E-04  1.638444E-04
8.871560E-04  2.606557E-04  1.649212E-04
8.953648E-04  2.662667E-04  1.683560E-04
9.036495E-04  2.695571E-04  1.717463E-04
9.120108E-04  2.692311E-04  1.707181E-04
9.204496E-04  2.749734E-04  1.724063E-04
9.289664E-04  2.769732E-04  1.743640E-04
9.375620E-04  2.817093E-04  1.775636E-04
9.462372E-04  2.839583E-04  1.778460E-04
9.549926E-04  2.860811E-04  1.778304E-04
9.638290E-04  2.895863E-04  1.815738E-04
9.727472E-04  2.923897E-04  1.821007E-04
9.817479E-04  2.975866E-04  1.847381E-04
9.908319E-04  3.013901E-04  1.858982E-04
1.000000E-03  3.038738E-04  1.877158E-04
1.009253E-03  3.084223E-04  1.909724E-04
1.018591E-03  3.130566E-04  1.942490E-04
1.028016E-03  3.174631E-04  1.954519E-04
1.037528E-03  3.174631E-04  1.957847E-04
1.047129E-03  3.242129E-04  1.985520E-04
1.056818E-03  3.287797E-04  2.032020E-04
1.066596E-03  3.295124E-04  2.018659E-04
1.076465E-03  3.345850E-04  2.040320E-04
1.086426E-03  3.398113E-04  2.062409E-04
1.096478E-03  3.430884E-04  2.088821E-04
1.106624E-03  3.480657E-04  2.112227E-04
1.116863E-03  3.523862E-04  2.118618E-04
1.127197E-03  3.520188E-04  2.134132E-04
1.137627E-03  3.606930E-04  2.177086E-04
1.148154E-03  3.651320E-04  2.208867E-04
1.158777E-03  3.696034E-04  2.229834E-04
1.169499E-03  3.705382E-04  2.213464E-04
1.180321E-03  3.753962E-04  2.261979E-04
1.191242E-03  3.808920E-04  2.274301E-04
1.202264E-03  3.866729E-04  2.300472E-04
1.213389E-03  3.927287E-04  2.344653E-04
1.224616E-03  3.957965E-04  2.345672E-04
1.235947E-03  3.986782E-04  2.356833E-04
1.247384E-03  4.062328E-04  2.393582E-04
1.258925E-03  4.112537E-04  2.421558E-04
1.270574E-03  4.162971E-04  2.444481E-04
1.282331E-03  4.199598E-04  2.460168E-04
1.294196E-03  4.223692E-04  2.480770E-04
1.306171E-03  4.276296E-04  2.507782E-04
1.318257E-03  4.341888E-04  2.530649E-04
1.330454E-03  4.405800E-04  2.568546E-04
1.342765E-03  4.465689E-04  2.611974E-04
1.355189E-03  4.479664E-04  2.600607E-04
1.367729E-03  4.533549E-04  2.615340E-04
1.380384E-03  4.641021E-04  2.683193E-04
1.393157E-03  4.692006E-04  2.730053E-04
1.406048E-03  4.683946E-04  2.696572E-04
1.419058E-03  4.761368E-04  2.730843E-04
1.432188E-03  4.817165E-04  2.752800E-04
1.445440E-03  4.888454E-04  2.798019E-04
1.458814E-03  4.953749E-04  2.856330E-04
1.472313E-03  4.989051E-04  2.843992E-04
1.485936E-03  5.035610E-04  2.856033E-04
1.499685E-03  5.101520E-04  2.886604E-04
1.513561E-03  5.157962E-04  2.945003E-04
1.527566E-03  5.233621E-04  2.965879E-04
1.541700E-03  5.299377E-04  2.992825E-04
1.555966E-03  5.348677E-04  3.034817E-04
1.570363E-03  5.448108E-04  3.060878E-04
1.584893E-03  5.488331E-04  3.094432E-04
1.599558E-03  5.547343E-04  3.111092E-04
1.614359E-03  5.625649E-04  3.168095E-04
1.629296E-03  5.662333E-04  3.180853E-04
1.644372E-03  5.760311E-04  3.225986E-04
1.659587E-03  5.801252E-04  3.236592E-04
1.674943E-03  5.904777E-04  3.276862E-04
1.690441E-03  5.950755E-04  3.286495E-04
1.706082E-03  6.019890E-04  3.349695E-04
