MMHT2014nlo68cl	1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.235947E-04  8.168693E-03  3.515134E-03  4.536190E-01  4.489867E-01  2.648915E-01  0.000000E+00  0.000000E+00  -2.871607E-01  4.454503E-01  4.454716E-01  2.670811E-01  0.000000E+00  0.000000E+00  2.131160E-05  2.381418E-03  1.699905E-03  5.853479E-02  5.780086E-02  2.411142E-01  0.000000E+00  0.000000E+00  1.693122E+00  5.793361E-02  5.793579E-02  2.415294E-01  0.000000E+00  0.000000E+00  3.887531E-05
1.247384E-04  8.222030E-03  3.542228E-03  4.528801E-01  4.482217E-01  2.644620E-01  0.000000E+00  0.000000E+00  -2.998006E-01  4.446581E-01  4.446794E-01  2.666559E-01  0.000000E+00  0.000000E+00  2.138320E-05  2.392391E-03  1.709574E-03  5.839935E-02  5.766155E-02  2.407257E-01  0.000000E+00  0.000000E+00  1.678173E+00  5.779597E-02  5.779822E-02  2.411418E-01  0.000000E+00  0.000000E+00  3.883313E-05
1.258925E-04  8.275596E-03  3.569462E-03  4.521418E-01  4.474571E-01  2.640327E-01  0.000000E+00  0.000000E+00  -3.123628E-01  4.438662E-01  4.438877E-01  2.662310E-01  0.000000E+00  0.000000E+00  2.145147E-05  2.403388E-03  1.719272E-03  5.826421E-02  5.752253E-02  2.403374E-01  0.000000E+00  0.000000E+00  1.663312E+00  5.765863E-02  5.766095E-02  2.407543E-01  0.000000E+00  0.000000E+00  3.877555E-05
1.270574E-04  8.329401E-03  3.596842E-03  4.514041E-01  4.466931E-01  2.636038E-01  0.000000E+00  0.000000E+00  -3.248467E-01  4.430747E-01  4.430963E-01  2.658064E-01  0.000000E+00  0.000000E+00  2.151657E-05  2.414411E-03  1.729000E-03  5.812937E-02  5.738380E-02  2.399491E-01  0.000000E+00  0.000000E+00  1.648539E+00  5.752160E-02  5.752397E-02  2.403669E-01  0.000000E+00  0.000000E+00  3.870348E-05
1.282331E-04  8.383454E-03  3.624375E-03  4.506671E-01  4.459296E-01  2.631752E-01  0.000000E+00  0.000000E+00  -3.372516E-01  4.422836E-01  4.423052E-01  2.653822E-01  0.000000E+00  0.000000E+00  2.157866E-05  2.425458E-03  1.738757E-03  5.799483E-02  5.724535E-02  2.395610E-01  0.000000E+00  0.000000E+00  1.633856E+00  5.738486E-02  5.738730E-02  2.399796E-01  0.000000E+00  0.000000E+00  3.861787E-05
1.294196E-04  8.437766E-03  3.652069E-03  4.499307E-01  4.451666E-01  2.627468E-01  0.000000E+00  0.000000E+00  -3.495770E-01  4.414929E-01  4.415146E-01  2.649582E-01  0.000000E+00  0.000000E+00  2.163791E-05  2.436532E-03  1.748545E-03  5.786059E-02  5.710719E-02  2.391729E-01  0.000000E+00  0.000000E+00  1.619262E+00  5.724843E-02  5.725093E-02  2.395924E-01  0.000000E+00  0.000000E+00  3.851962E-05
1.306171E-04  8.492346E-03  3.679929E-03  4.491950E-01  4.444042E-01  2.623188E-01  0.000000E+00  0.000000E+00  -3.618223E-01  4.407026E-01  4.407243E-01  2.645345E-01  0.000000E+00  0.000000E+00  2.169449E-05  2.447631E-03  1.758365E-03  5.772666E-02  5.696933E-02  2.387850E-01  0.000000E+00  0.000000E+00  1.604758E+00  5.711231E-02  5.711487E-02  2.392052E-01  0.000000E+00  0.000000E+00  3.840969E-05
1.318257E-04  8.547204E-03  3.707964E-03  4.484599E-01  4.436424E-01  2.618911E-01  0.000000E+00  0.000000E+00  -3.739870E-01  4.399127E-01  4.399344E-01  2.641112E-01  0.000000E+00  0.000000E+00  2.174855E-05  2.458756E-03  1.768216E-03  5.759304E-02  5.683175E-02  2.383971E-01  0.000000E+00  0.000000E+00  1.590346E+00  5.697649E-02  5.697911E-02  2.388182E-01  0.000000E+00  0.000000E+00  3.828898E-05
1.330454E-04  8.602350E-03  3.736178E-03  4.477255E-01  4.428811E-01  2.614637E-01  0.000000E+00  0.000000E+00  -3.860704E-01  4.391231E-01  4.391449E-01  2.636882E-01  0.000000E+00  0.000000E+00  2.180026E-05  2.469908E-03  1.778100E-03  5.745972E-02  5.669447E-02  2.380093E-01  0.000000E+00  0.000000E+00  1.576024E+00  5.684098E-02  5.684365E-02  2.384313E-01  0.000000E+00  0.000000E+00  3.815842E-05
1.342765E-04  8.657795E-03  3.764580E-03  4.469918E-01  4.421204E-01  2.610366E-01  0.000000E+00  0.000000E+00  -3.980720E-01  4.383340E-01  4.383558E-01  2.632655E-01  0.000000E+00  0.000000E+00  2.184978E-05  2.481086E-03  1.788017E-03  5.732670E-02  5.655748E-02  2.376216E-01  0.000000E+00  0.000000E+00  1.561795E+00  5.670577E-02  5.670851E-02  2.380445E-01  0.000000E+00  0.000000E+00  3.801894E-05
