NNPDFpol 1.1, Q = 1.087 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.258925E-04	 1.436345E-02	 7.821235E-03	 6.680146E-03	 7.461260E-03	 -7.683300E-03	 7.180137E-03	 -1.702098E-03	 7.445963E-03	 4.479414E-03	 8.847423E-03	 -3.131592E-03	 8.568803E-03	 -8.510489E-04	 3.722982E-03	 2.200732E-03	 4.268043E-03	 -4.551708E-03	 4.744549E-03	 -8.510489E-04	 3.722982E-03
1.270574E-04	 1.440167E-02	 7.835531E-03	 6.694896E-03	 7.473234E-03	 -7.706770E-03	 7.193196E-03	 -1.711441E-03	 7.461053E-03	 4.492664E-03	 8.860938E-03	 -3.147402E-03	 8.585018E-03	 -8.557204E-04	 3.730527E-03	 2.202232E-03	 4.274926E-03	 -4.559368E-03	 4.752714E-03	 -8.557204E-04	 3.730527E-03
1.282331E-04	 1.443990E-02	 7.849660E-03	 6.709643E-03	 7.484939E-03	 -7.730258E-03	 7.206007E-03	 -1.720820E-03	 7.475889E-03	 4.505917E-03	 8.874170E-03	 -3.163252E-03	 8.600984E-03	 -8.604098E-04	 3.737944E-03	 2.203726E-03	 4.281690E-03	 -4.567005E-03	 4.760779E-03	 -8.604098E-04	 3.737944E-03
1.294196E-04	 1.447815E-02	 7.863612E-03	 6.724389E-03	 7.496364E-03	 -7.753763E-03	 7.218558E-03	 -1.730234E-03	 7.490459E-03	 4.519172E-03	 8.887107E-03	 -3.179143E-03	 8.616688E-03	 -8.651171E-04	 3.745229E-03	 2.205217E-03	 4.288330E-03	 -4.574620E-03	 4.768739E-03	 -8.651171E-04	 3.745229E-03
1.306171E-04	 1.451642E-02	 7.877377E-03	 6.739131E-03	 7.507497E-03	 -7.777286E-03	 7.230838E-03	 -1.739685E-03	 7.504753E-03	 4.532427E-03	 8.899739E-03	 -3.195073E-03	 8.632117E-03	 -8.698424E-04	 3.752377E-03	 2.206704E-03	 4.294836E-03	 -4.582213E-03	 4.776589E-03	 -8.698424E-04	 3.752377E-03
1.318257E-04	 1.455469E-02	 7.890946E-03	 6.753869E-03	 7.518329E-03	 -7.800824E-03	 7.242837E-03	 -1.749171E-03	 7.518761E-03	 4.545681E-03	 8.912058E-03	 -3.211041E-03	 8.647258E-03	 -8.745855E-04	 3.759381E-03	 2.208188E-03	 4.301203E-03	 -4.589783E-03	 4.784323E-03	 -8.745855E-04	 3.759381E-03
1.330454E-04	 1.459299E-02	 7.904394E-03	 6.768611E-03	 7.528929E-03	 -7.824382E-03	 7.254633E-03	 -1.758689E-03	 7.532547E-03	 4.558951E-03	 8.924130E-03	 -3.227055E-03	 8.662202E-03	 -8.793446E-04	 3.766274E-03	 2.209660E-03	 4.307466E-03	 -4.597327E-03	 4.791970E-03	 -8.793446E-04	 3.766274E-03
1.342765E-04	 1.463133E-02	 7.917794E-03	 6.783364E-03	 7.539362E-03	 -7.847964E-03	 7.266301E-03	 -1.768236E-03	 7.546175E-03	 4.572250E-03	 8.936022E-03	 -3.243121E-03	 8.677038E-03	 -8.841179E-04	 3.773088E-03	 2.211113E-03	 4.313664E-03	 -4.604843E-03	 4.799560E-03	 -8.841179E-04	 3.773088E-03
1.355189E-04	 1.466969E-02	 7.931132E-03	 6.798124E-03	 7.549617E-03	 -7.871570E-03	 7.277827E-03	 -1.777812E-03	 7.559634E-03	 4.585575E-03	 8.947723E-03	 -3.259238E-03	 8.691750E-03	 -8.889060E-04	 3.779817E-03	 2.212549E-03	 4.319792E-03	 -4.612332E-03	 4.807091E-03	 -8.889060E-04	 3.779817E-03
1.367729E-04	 1.470809E-02	 7.944394E-03	 6.812891E-03	 7.559682E-03	 -7.895199E-03	 7.289196E-03	 -1.787419E-03	 7.572912E-03	 4.598922E-03	 8.959219E-03	 -3.275403E-03	 8.706322E-03	 -8.937096E-04	 3.786456E-03	 2.213969E-03	 4.325845E-03	 -4.619795E-03	 4.814561E-03	 -8.937096E-04	 3.786456E-03
