Q0 = 0.600 GeV	 Q = 1.087 GeV
6.427E-04	3.786E-03
6.486E-04	3.814E-03
6.546E-04	3.842E-03
6.607E-04	3.870E-03
6.668E-04	3.899E-03
6.730E-04	3.927E-03
6.792E-04	3.956E-03
6.855E-04	3.985E-03
6.918E-04	4.014E-03
6.982E-04	4.044E-03
7.047E-04	4.073E-03
7.112E-04	4.103E-03
7.178E-04	4.133E-03
7.244E-04	4.164E-03
7.311E-04	4.194E-03
7.379E-04	4.225E-03
7.447E-04	4.256E-03
7.516E-04	4.288E-03
7.586E-04	4.319E-03
7.656E-04	4.351E-03
7.727E-04	4.383E-03
7.798E-04	4.415E-03
7.870E-04	4.447E-03
7.943E-04	4.480E-03
8.017E-04	4.513E-03
8.091E-04	4.546E-03
8.166E-04	4.580E-03
8.241E-04	4.613E-03
8.318E-04	4.647E-03
8.395E-04	4.681E-03
8.472E-04	4.716E-03
8.551E-04	4.751E-03
8.630E-04	4.786E-03
8.710E-04	4.821E-03
8.790E-04	4.856E-03
8.872E-04	4.892E-03
8.954E-04	4.928E-03
9.036E-04	4.964E-03
9.120E-04	5.001E-03
9.204E-04	5.038E-03
9.290E-04	5.075E-03
9.376E-04	5.112E-03
9.462E-04	5.150E-03
9.550E-04	5.188E-03
9.638E-04	5.226E-03
9.727E-04	5.264E-03
9.817E-04	5.303E-03
9.908E-04	5.342E-03
1.000E-03	5.382E-03
1.009E-03	5.421E-03
1.019E-03	5.461E-03
1.028E-03	5.502E-03
1.038E-03	5.542E-03
1.047E-03	5.583E-03
1.057E-03	5.624E-03
1.067E-03	5.666E-03
1.076E-03	5.708E-03
1.086E-03	5.750E-03
1.096E-03	5.792E-03
1.107E-03	5.835E-03
1.117E-03	5.878E-03
1.127E-03	5.921E-03
1.138E-03	5.965E-03
1.148E-03	6.009E-03
1.159E-03	6.053E-03
1.169E-03	6.098E-03
1.180E-03	6.143E-03
1.191E-03	6.188E-03
1.202E-03	6.234E-03
1.213E-03	6.280E-03
1.225E-03	6.327E-03
1.236E-03	6.373E-03
1.247E-03	6.420E-03
1.259E-03	6.468E-03
1.271E-03	6.516E-03
1.282E-03	6.564E-03
1.294E-03	6.612E-03
1.306E-03	6.661E-03
1.318E-03	6.711E-03
1.330E-03	6.760E-03
1.343E-03	6.810E-03
1.355E-03	6.861E-03
1.368E-03	6.911E-03
1.380E-03	6.962E-03
1.393E-03	7.014E-03
1.406E-03	7.066E-03
1.419E-03	7.118E-03
1.432E-03	7.171E-03
1.445E-03	7.224E-03
1.459E-03	7.277E-03
1.472E-03	7.331E-03
1.486E-03	7.386E-03
1.500E-03	7.440E-03
1.514E-03	7.495E-03
1.528E-03	7.551E-03
1.542E-03	7.607E-03
1.556E-03	7.663E-03
1.570E-03	7.720E-03
1.585E-03	7.777E-03
1.600E-03	7.835E-03
1.614E-03	7.893E-03
1.629E-03	7.952E-03
1.644E-03	8.010E-03
1.660E-03	8.070E-03
1.675E-03	8.130E-03
1.690E-03	8.190E-03
1.706E-03	8.251E-03
1.722E-03	8.312E-03
1.738E-03	8.374E-03
1.754E-03	8.436E-03
1.770E-03	8.499E-03
1.786E-03	8.562E-03
1.803E-03	8.625E-03
1.820E-03	8.689E-03
1.837E-03	8.754E-03
1.854E-03	8.819E-03
1.871E-03	8.884E-03
1.888E-03	8.950E-03
1.905E-03	9.017E-03
1.923E-03	9.084E-03
1.941E-03	9.151E-03
1.959E-03	9.219E-03
1.977E-03	9.288E-03
1.995E-03	9.357E-03
2.014E-03	9.427E-03
2.032E-03	9.497E-03
2.051E-03	9.567E-03
2.070E-03	9.638E-03
2.089E-03	9.710E-03
2.109E-03	9.782E-03
2.128E-03	9.855E-03
2.148E-03	9.929E-03
2.168E-03	1.000E-02
2.188E-03	1.008E-02
2.208E-03	1.015E-02
2.228E-03	1.023E-02
2.249E-03	1.030E-02
2.270E-03	1.038E-02
2.291E-03	1.046E-02
2.312E-03	1.054E-02
2.333E-03	1.061E-02
2.355E-03	1.069E-02
2.377E-03	1.077E-02
2.399E-03	1.085E-02
2.421E-03	1.093E-02
2.443E-03	1.102E-02
2.466E-03	1.110E-02
2.489E-03	1.118E-02
2.512E-03	1.126E-02
2.535E-03	1.135E-02
2.559E-03	1.143E-02
2.582E-03	1.152E-02
2.606E-03	1.160E-02
2.630E-03	1.169E-02
2.655E-03	1.178E-02
2.679E-03	1.187E-02
2.704E-03	1.195E-02
2.729E-03	1.204E-02
2.754E-03	1.213E-02
2.780E-03	1.222E-02
2.805E-03	1.232E-02
2.831E-03	1.241E-02
2.858E-03	1.250E-02
2.884E-03	1.259E-02
2.911E-03	1.269E-02
2.938E-03	1.278E-02
2.965E-03	1.288E-02
2.992E-03	1.298E-02
3.020E-03	1.307E-02
3.048E-03	1.317E-02
3.076E-03	1.327E-02
3.105E-03	1.337E-02
3.133E-03	1.347E-02
3.162E-03	1.357E-02
3.192E-03	1.367E-02
3.221E-03	1.377E-02
3.251E-03	1.388E-02
3.281E-03	1.398E-02
3.311E-03	1.409E-02
3.342E-03	1.419E-02
3.373E-03	1.430E-02
3.404E-03	1.440E-02
3.436E-03	1.451E-02
3.467E-03	1.462E-02
3.499E-03	1.473E-02
3.532E-03	1.484E-02
3.565E-03	1.495E-02
3.597E-03	1.507E-02
3.631E-03	1.518E-02
3.664E-03	1.529E-02
3.698E-03	1.541E-02
3.733E-03	1.552E-02
3.767E-03	1.564E-02
3.802E-03	1.576E-02
3.837E-03	1.588E-02
3.873E-03	1.599E-02
3.908E-03	1.611E-02
3.945E-03	1.624E-02
3.981E-03	1.636E-02
4.018E-03	1.648E-02
4.055E-03	1.660E-02
4.093E-03	1.673E-02
4.130E-03	1.686E-02
4.169E-03	1.698E-02
4.207E-03	1.711E-02
4.246E-03	1.724E-02
4.285E-03	1.737E-02
4.325E-03	1.750E-02
4.365E-03	1.763E-02
4.406E-03	1.776E-02
4.446E-03	1.790E-02
4.487E-03	1.803E-02
4.529E-03	1.817E-02
4.571E-03	1.831E-02
4.613E-03	1.844E-02
4.656E-03	1.858E-02
4.699E-03	1.872E-02
4.742E-03	1.886E-02
4.786E-03	1.901E-02
4.831E-03	1.915E-02
4.875E-03	1.929E-02
4.920E-03	1.944E-02
4.966E-03	1.959E-02
5.012E-03	1.973E-02
5.058E-03	1.988E-02
5.105E-03	2.003E-02
5.152E-03	2.019E-02
5.200E-03	2.034E-02
5.248E-03	2.049E-02
5.297E-03	2.065E-02
5.346E-03	2.080E-02
5.395E-03	2.096E-02
5.445E-03	2.112E-02
5.495E-03	2.128E-02
5.546E-03	2.144E-02
5.598E-03	2.160E-02
5.649E-03	2.176E-02
5.702E-03	2.193E-02
5.754E-03	2.210E-02
5.808E-03	2.226E-02
5.861E-03	2.243E-02
5.916E-03	2.260E-02
5.970E-03	2.277E-02
6.026E-03	2.295E-02
6.081E-03	2.312E-02
6.138E-03	2.330E-02
6.194E-03	2.347E-02
6.252E-03	2.365E-02
6.310E-03	2.383E-02
6.368E-03	2.401E-02
6.427E-03	2.419E-02
6.486E-03	2.438E-02
6.546E-03	2.456E-02
6.607E-03	2.475E-02
6.668E-03	2.494E-02
6.730E-03	2.513E-02
6.792E-03	2.532E-02
6.855E-03	2.551E-02
6.918E-03	2.570E-02
6.982E-03	2.590E-02
7.047E-03	2.610E-02
7.112E-03	2.629E-02
7.178E-03	2.649E-02
7.244E-03	2.670E-02
7.311E-03	2.690E-02
7.379E-03	2.710E-02
7.447E-03	2.731E-02
7.516E-03	2.752E-02
7.586E-03	2.773E-02
7.656E-03	2.794E-02
7.727E-03	2.815E-02
7.798E-03	2.837E-02
7.870E-03	2.858E-02
7.943E-03	2.880E-02
8.017E-03	2.902E-02
8.091E-03	2.924E-02
8.166E-03	2.947E-02
8.241E-03	2.969E-02
8.318E-03	2.992E-02
8.395E-03	3.015E-02
8.472E-03	3.038E-02
8.551E-03	3.061E-02
8.630E-03	3.084E-02
8.710E-03	3.108E-02
8.790E-03	3.132E-02
8.872E-03	3.156E-02
8.954E-03	3.180E-02
9.036E-03	3.204E-02
9.120E-03	3.229E-02
9.204E-03	3.253E-02
9.290E-03	3.278E-02
9.376E-03	3.303E-02
9.462E-03	3.329E-02
9.550E-03	3.354E-02
9.638E-03	3.380E-02
9.727E-03	3.406E-02
9.817E-03	3.432E-02
9.908E-03	3.458E-02
1.000E-02	3.485E-02
1.198E-02	4.051E-02
1.397E-02	4.605E-02
1.595E-02	5.149E-02
1.794E-02	5.684E-02
1.992E-02	6.212E-02
2.190E-02	6.733E-02
2.389E-02	7.250E-02
2.587E-02	7.761E-02
2.786E-02	8.269E-02
2.984E-02	8.772E-02
3.182E-02	9.272E-02
3.381E-02	9.768E-02
3.579E-02	1.026E-01
3.778E-02	1.075E-01
3.976E-02	1.124E-01
4.174E-02	1.172E-01
4.373E-02	1.221E-01
4.571E-02	1.269E-01
4.770E-02	1.317E-01
4.968E-02	1.364E-01
5.166E-02	1.411E-01
5.365E-02	1.458E-01
5.563E-02	1.505E-01
5.762E-02	1.552E-01
5.960E-02	1.598E-01
6.158E-02	1.645E-01
6.357E-02	1.691E-01
6.555E-02	1.736E-01
6.754E-02	1.782E-01
6.952E-02	1.827E-01
7.150E-02	1.872E-01
7.349E-02	1.917E-01
7.547E-02	1.962E-01
7.745E-02	2.006E-01
7.944E-02	2.050E-01
8.142E-02	2.094E-01
8.341E-02	2.138E-01
8.539E-02	2.182E-01
8.737E-02	2.225E-01
8.936E-02	2.268E-01
9.134E-02	2.310E-01
9.333E-02	2.353E-01
9.531E-02	2.395E-01
9.729E-02	2.437E-01
9.928E-02	2.479E-01
1.013E-01	2.520E-01
1.032E-01	2.561E-01
1.052E-01	2.602E-01
1.072E-01	2.642E-01
1.092E-01	2.683E-01
1.112E-01	2.722E-01
1.132E-01	2.762E-01
1.152E-01	2.801E-01
1.171E-01	2.840E-01
1.191E-01	2.879E-01
1.211E-01	2.918E-01
1.231E-01	2.956E-01
1.251E-01	2.993E-01
1.271E-01	3.031E-01
1.290E-01	3.068E-01
1.310E-01	3.105E-01
1.330E-01	3.141E-01
1.350E-01	3.177E-01
1.370E-01	3.213E-01
1.390E-01	3.248E-01
1.409E-01	3.284E-01
1.429E-01	3.318E-01
1.449E-01	3.353E-01
1.469E-01	3.387E-01
1.489E-01	3.420E-01
1.509E-01	3.453E-01
1.528E-01	3.486E-01
1.548E-01	3.519E-01
1.568E-01	3.551E-01
1.588E-01	3.583E-01
1.608E-01	3.614E-01
1.628E-01	3.645E-01
1.647E-01	3.676E-01
1.667E-01	3.706E-01
1.687E-01	3.736E-01
1.707E-01	3.765E-01
1.727E-01	3.794E-01
1.747E-01	3.823E-01
1.767E-01	3.851E-01
1.786E-01	3.878E-01
1.806E-01	3.906E-01
1.826E-01	3.933E-01
1.846E-01	3.959E-01
1.866E-01	3.985E-01
1.886E-01	4.011E-01
1.905E-01	4.036E-01
1.925E-01	4.061E-01
1.945E-01	4.086E-01
1.965E-01	4.110E-01
1.985E-01	4.133E-01
2.005E-01	4.156E-01
2.024E-01	4.179E-01
2.044E-01	4.201E-01
2.064E-01	4.223E-01
2.084E-01	4.244E-01
2.104E-01	4.265E-01
2.124E-01	4.286E-01
2.143E-01	4.306E-01
2.163E-01	4.326E-01
2.183E-01	4.345E-01
2.203E-01	4.363E-01
2.223E-01	4.382E-01
2.243E-01	4.400E-01
2.263E-01	4.417E-01
2.282E-01	4.434E-01
2.302E-01	4.450E-01
2.322E-01	4.466E-01
2.342E-01	4.482E-01
2.362E-01	4.497E-01
2.382E-01	4.512E-01
2.401E-01	4.526E-01
2.421E-01	4.540E-01
2.441E-01	4.553E-01
2.461E-01	4.566E-01
2.481E-01	4.579E-01
2.501E-01	4.591E-01
2.520E-01	4.602E-01
2.540E-01	4.613E-01
2.560E-01	4.624E-01
2.580E-01	4.634E-01
2.600E-01	4.644E-01
2.620E-01	4.653E-01
2.639E-01	4.662E-01
2.659E-01	4.670E-01
2.679E-01	4.678E-01
2.699E-01	4.686E-01
2.719E-01	4.693E-01
2.739E-01	4.699E-01
2.759E-01	4.705E-01
2.778E-01	4.711E-01
2.798E-01	4.716E-01
2.818E-01	4.721E-01
2.838E-01	4.726E-01
2.858E-01	4.730E-01
2.878E-01	4.733E-01
2.897E-01	4.736E-01
2.917E-01	4.739E-01
2.937E-01	4.741E-01
2.957E-01	4.743E-01
2.977E-01	4.744E-01
2.997E-01	4.745E-01
3.016E-01	4.746E-01
3.036E-01	4.746E-01
3.056E-01	4.746E-01
3.076E-01	4.745E-01
3.096E-01	4.744E-01
3.116E-01	4.742E-01
3.135E-01	4.740E-01
3.155E-01	4.738E-01
3.175E-01	4.735E-01
3.195E-01	4.732E-01
3.215E-01	4.728E-01
3.235E-01	4.724E-01
3.255E-01	4.720E-01
3.274E-01	4.715E-01
3.294E-01	4.710E-01
3.314E-01	4.704E-01
3.334E-01	4.698E-01
3.354E-01	4.692E-01
3.374E-01	4.685E-01
3.393E-01	4.678E-01
3.413E-01	4.670E-01
3.433E-01	4.662E-01
3.453E-01	4.654E-01
3.473E-01	4.646E-01
3.493E-01	4.637E-01
3.512E-01	4.627E-01
3.532E-01	4.618E-01
3.552E-01	4.608E-01
3.572E-01	4.597E-01
3.592E-01	4.586E-01
3.612E-01	4.575E-01
3.631E-01	4.564E-01
3.651E-01	4.552E-01
3.671E-01	4.540E-01
3.691E-01	4.527E-01
3.711E-01	4.515E-01
3.731E-01	4.502E-01
3.751E-01	4.488E-01
3.770E-01	4.474E-01
3.790E-01	4.460E-01
3.810E-01	4.446E-01
3.830E-01	4.431E-01
3.850E-01	4.416E-01
3.870E-01	4.401E-01
3.889E-01	4.386E-01
3.909E-01	4.370E-01
3.929E-01	4.354E-01
3.949E-01	4.337E-01
3.969E-01	4.320E-01
3.989E-01	4.303E-01
4.008E-01	4.286E-01
4.028E-01	4.269E-01
4.048E-01	4.251E-01
4.068E-01	4.233E-01
4.088E-01	4.214E-01
4.108E-01	4.196E-01
4.127E-01	4.177E-01
4.147E-01	4.158E-01
4.167E-01	4.139E-01
4.187E-01	4.119E-01
4.207E-01	4.099E-01
4.227E-01	4.079E-01
4.246E-01	4.059E-01
4.266E-01	4.039E-01
4.286E-01	4.018E-01
4.306E-01	3.997E-01
4.326E-01	3.976E-01
4.346E-01	3.955E-01
4.366E-01	3.933E-01
4.385E-01	3.912E-01
4.405E-01	3.890E-01
4.425E-01	3.868E-01
4.445E-01	3.845E-01
4.465E-01	3.823E-01
4.485E-01	3.800E-01
4.504E-01	3.778E-01
4.524E-01	3.755E-01
4.544E-01	3.732E-01
4.564E-01	3.708E-01
4.584E-01	3.685E-01
4.604E-01	3.662E-01
4.623E-01	3.638E-01
4.643E-01	3.614E-01
4.663E-01	3.590E-01
4.683E-01	3.566E-01
4.703E-01	3.542E-01
4.723E-01	3.517E-01
4.742E-01	3.493E-01
4.762E-01	3.468E-01
4.782E-01	3.444E-01
4.802E-01	3.419E-01
4.822E-01	3.394E-01
4.842E-01	3.369E-01
4.862E-01	3.344E-01
4.881E-01	3.319E-01
4.901E-01	3.293E-01
4.921E-01	3.268E-01
4.941E-01	3.243E-01
4.961E-01	3.217E-01
4.981E-01	3.191E-01
5.000E-01	3.166E-01
5.020E-01	3.140E-01
5.040E-01	3.114E-01
5.060E-01	3.089E-01
5.080E-01	3.063E-01
5.100E-01	3.037E-01
5.119E-01	3.011E-01
5.139E-01	2.985E-01
5.159E-01	2.959E-01
5.179E-01	2.933E-01
5.199E-01	2.907E-01
5.219E-01	2.880E-01
5.238E-01	2.854E-01
5.258E-01	2.828E-01
5.278E-01	2.802E-01
5.298E-01	2.776E-01
5.318E-01	2.750E-01
5.338E-01	2.724E-01
5.358E-01	2.697E-01
5.377E-01	2.671E-01
5.397E-01	2.645E-01
5.417E-01	2.619E-01
5.437E-01	2.593E-01
5.457E-01	2.567E-01
5.477E-01	2.541E-01
5.496E-01	2.515E-01
5.516E-01	2.489E-01
5.536E-01	2.463E-01
5.556E-01	2.437E-01
5.576E-01	2.411E-01
5.596E-01	2.385E-01
5.615E-01	2.359E-01
5.635E-01	2.333E-01
5.655E-01	2.308E-01
5.675E-01	2.282E-01
5.695E-01	2.257E-01
5.715E-01	2.231E-01
5.734E-01	2.206E-01
5.754E-01	2.180E-01
5.774E-01	2.155E-01
5.794E-01	2.130E-01
5.814E-01	2.105E-01
5.834E-01	2.080E-01
5.854E-01	2.055E-01
5.873E-01	2.030E-01
5.893E-01	2.005E-01
5.913E-01	1.980E-01
5.933E-01	1.956E-01
5.953E-01	1.931E-01
5.973E-01	1.907E-01
5.992E-01	1.882E-01
6.012E-01	1.858E-01
6.032E-01	1.834E-01
6.052E-01	1.810E-01
6.072E-01	1.786E-01
6.092E-01	1.763E-01
6.111E-01	1.739E-01
6.131E-01	1.716E-01
6.151E-01	1.692E-01
6.171E-01	1.669E-01
6.191E-01	1.646E-01
6.211E-01	1.623E-01
6.230E-01	1.600E-01
6.250E-01	1.577E-01
6.270E-01	1.555E-01
6.290E-01	1.532E-01
6.310E-01	1.510E-01
6.330E-01	1.488E-01
6.349E-01	1.466E-01
6.369E-01	1.444E-01
6.389E-01	1.422E-01
6.409E-01	1.401E-01
6.429E-01	1.379E-01
6.449E-01	1.358E-01
6.469E-01	1.337E-01
6.488E-01	1.316E-01
6.508E-01	1.295E-01
6.528E-01	1.274E-01
6.548E-01	1.254E-01
6.568E-01	1.233E-01
6.588E-01	1.213E-01
6.607E-01	1.193E-01
6.627E-01	1.174E-01
6.647E-01	1.154E-01
6.667E-01	1.134E-01
6.687E-01	1.115E-01
6.707E-01	1.096E-01
6.726E-01	1.077E-01
6.746E-01	1.058E-01
6.766E-01	1.039E-01
6.786E-01	1.021E-01
6.806E-01	1.003E-01
6.826E-01	9.846E-02
6.845E-01	9.667E-02
6.865E-01	9.489E-02
6.885E-01	9.313E-02
6.905E-01	9.139E-02
6.925E-01	8.967E-02
6.945E-01	8.797E-02
6.965E-01	8.628E-02
6.984E-01	8.462E-02
7.004E-01	8.297E-02
7.024E-01	8.134E-02
7.044E-01	7.972E-02
7.064E-01	7.813E-02
7.084E-01	7.655E-02
7.103E-01	7.500E-02
7.123E-01	7.346E-02
7.143E-01	7.194E-02
7.163E-01	7.043E-02
7.183E-01	6.895E-02
7.203E-01	6.748E-02
7.222E-01	6.604E-02
7.242E-01	6.461E-02
7.262E-01	6.320E-02
7.282E-01	6.181E-02
7.302E-01	6.043E-02
7.322E-01	5.908E-02
7.341E-01	5.774E-02
7.361E-01	5.642E-02
7.381E-01	5.513E-02
7.401E-01	5.384E-02
7.421E-01	5.258E-02
7.441E-01	5.134E-02
7.461E-01	5.011E-02
7.480E-01	4.890E-02
7.500E-01	4.771E-02
7.520E-01	4.654E-02
7.540E-01	4.538E-02
7.560E-01	4.425E-02
7.580E-01	4.313E-02
7.599E-01	4.203E-02
7.619E-01	4.095E-02
7.639E-01	3.988E-02
7.659E-01	3.883E-02
7.679E-01	3.780E-02
7.699E-01	3.679E-02
7.718E-01	3.580E-02
7.738E-01	3.482E-02
7.758E-01	3.386E-02
7.778E-01	3.292E-02
7.798E-01	3.199E-02
7.818E-01	3.108E-02
7.837E-01	3.019E-02
7.857E-01	2.931E-02
7.877E-01	2.845E-02
7.897E-01	2.761E-02
7.917E-01	2.678E-02
7.937E-01	2.597E-02
7.957E-01	2.518E-02
7.976E-01	2.440E-02
7.996E-01	2.363E-02
8.016E-01	2.289E-02
8.036E-01	2.216E-02
8.056E-01	2.144E-02
8.076E-01	2.074E-02
8.095E-01	2.006E-02
8.115E-01	1.939E-02
8.135E-01	1.873E-02
8.155E-01	1.809E-02
8.175E-01	1.747E-02
8.195E-01	1.686E-02
8.214E-01	1.626E-02
8.234E-01	1.568E-02
8.254E-01	1.511E-02
8.274E-01	1.456E-02
8.294E-01	1.401E-02
8.314E-01	1.349E-02
8.333E-01	1.297E-02
8.353E-01	1.247E-02
8.373E-01	1.199E-02
8.393E-01	1.151E-02
8.413E-01	1.105E-02
8.433E-01	1.060E-02
8.453E-01	1.017E-02
8.472E-01	9.744E-03
8.492E-01	9.333E-03
8.512E-01	8.933E-03
8.532E-01	8.545E-03
8.552E-01	8.169E-03
8.572E-01	7.804E-03
8.591E-01	7.451E-03
8.611E-01	7.109E-03
8.631E-01	6.777E-03
8.651E-01	6.456E-03
8.671E-01	6.146E-03
8.691E-01	5.846E-03
8.710E-01	5.557E-03
8.730E-01	5.277E-03
8.750E-01	5.007E-03
8.770E-01	4.747E-03
8.790E-01	4.496E-03
8.810E-01	4.255E-03
8.829E-01	4.023E-03
8.849E-01	3.799E-03
8.869E-01	3.585E-03
8.889E-01	3.378E-03
8.909E-01	3.181E-03
8.929E-01	2.991E-03
8.948E-01	2.809E-03
8.968E-01	2.635E-03
8.988E-01	2.469E-03
9.008E-01	2.310E-03
9.028E-01	2.159E-03
9.048E-01	2.014E-03
9.068E-01	1.877E-03
9.087E-01	1.746E-03
9.107E-01	1.621E-03
9.127E-01	1.503E-03
9.147E-01	1.391E-03
9.167E-01	1.285E-03
9.187E-01	1.185E-03
9.206E-01	1.090E-03
9.226E-01	1.001E-03
9.246E-01	9.168E-04
9.266E-01	8.379E-04
9.286E-01	7.638E-04
9.306E-01	6.944E-04
9.325E-01	6.296E-04
9.345E-01	5.692E-04
9.365E-01	5.129E-04
9.385E-01	4.607E-04
9.405E-01	4.123E-04
9.425E-01	3.676E-04
9.444E-01	3.264E-04
9.464E-01	2.886E-04
9.484E-01	2.539E-04
9.504E-01	2.223E-04
9.524E-01	1.936E-04
9.544E-01	1.676E-04
9.564E-01	1.441E-04
9.583E-01	1.231E-04
9.603E-01	1.043E-04
9.623E-01	8.764E-05
9.643E-01	7.294E-05
9.663E-01	6.008E-05
9.683E-01	4.890E-05
9.702E-01	3.927E-05
9.722E-01	3.107E-05
9.742E-01	2.415E-05
9.762E-01	1.840E-05
9.782E-01	1.369E-05
9.802E-01	9.903E-06
9.821E-01	6.922E-06
9.841E-01	4.638E-06
9.861E-01	2.946E-06
9.881E-01	1.744E-06
9.901E-01	9.380E-07
