Q0 = 1.087 GeV	 Q = 1.581 GeV
x	 x*(uv-dv)
1.600E-03	3.619E-03	3.747E-03
1.614E-03	3.649E-03	3.778E-03
1.629E-03	3.680E-03	3.809E-03
1.644E-03	3.711E-03	3.840E-03
1.660E-03	3.743E-03	3.872E-03
1.675E-03	3.774E-03	3.904E-03
1.690E-03	3.806E-03	3.936E-03
1.706E-03	3.838E-03	3.969E-03
1.722E-03	3.871E-03	4.002E-03
1.738E-03	3.903E-03	4.035E-03
1.754E-03	3.936E-03	4.068E-03
1.770E-03	3.970E-03	4.102E-03
1.786E-03	4.003E-03	4.136E-03
1.803E-03	4.037E-03	4.170E-03
1.820E-03	4.071E-03	4.205E-03
1.837E-03	4.106E-03	4.239E-03
1.854E-03	4.140E-03	4.275E-03
1.871E-03	4.175E-03	4.310E-03
1.888E-03	4.211E-03	4.346E-03
1.905E-03	4.246E-03	4.382E-03
1.923E-03	4.282E-03	4.418E-03
1.941E-03	4.318E-03	4.455E-03
1.959E-03	4.355E-03	4.492E-03
1.977E-03	4.392E-03	4.529E-03
1.995E-03	4.429E-03	4.567E-03
2.014E-03	4.467E-03	4.605E-03
2.032E-03	4.504E-03	4.643E-03
2.051E-03	4.543E-03	4.682E-03
2.070E-03	4.581E-03	4.720E-03
2.089E-03	4.620E-03	4.760E-03
2.109E-03	4.659E-03	4.799E-03
2.128E-03	4.699E-03	4.839E-03
2.148E-03	4.739E-03	4.879E-03
2.168E-03	4.779E-03	4.920E-03
2.188E-03	4.819E-03	4.961E-03
2.208E-03	4.860E-03	5.002E-03
2.228E-03	4.902E-03	5.044E-03
2.249E-03	4.943E-03	5.086E-03
2.270E-03	4.985E-03	5.128E-03
2.291E-03	5.027E-03	5.171E-03
2.312E-03	5.070E-03	5.214E-03
2.333E-03	5.113E-03	5.258E-03
2.355E-03	5.157E-03	5.302E-03
2.377E-03	5.201E-03	5.346E-03
2.399E-03	5.245E-03	5.391E-03
2.421E-03	5.289E-03	5.436E-03
2.443E-03	5.334E-03	5.481E-03
2.466E-03	5.380E-03	5.527E-03
2.489E-03	5.426E-03	5.573E-03
2.512E-03	5.472E-03	5.620E-03
2.535E-03	5.518E-03	5.667E-03
2.559E-03	5.566E-03	5.714E-03
2.582E-03	5.613E-03	5.762E-03
2.606E-03	5.661E-03	5.810E-03
2.630E-03	5.709E-03	5.859E-03
2.655E-03	5.758E-03	5.908E-03
2.679E-03	5.807E-03	5.957E-03
2.704E-03	5.856E-03	6.007E-03
2.729E-03	5.906E-03	6.057E-03
2.754E-03	5.957E-03	6.108E-03
2.780E-03	6.008E-03	6.159E-03
2.805E-03	6.059E-03	6.211E-03
