NNPDFpol 1.1, Q = 3.162 GeV
x	 x(uv-dv)	 error
8.629785E-04	 1.071246E-02	 1.589934E-02
8.709636E-04	 1.077868E-02	 1.591371E-02
8.790225E-04	 1.084521E-02	 1.592821E-02
8.871560E-04	 1.091203E-02	 1.594284E-02
8.953648E-04	 1.097908E-02	 1.595759E-02
9.036495E-04	 1.104636E-02	 1.597244E-02
9.120108E-04	 1.111383E-02	 1.598737E-02
9.204496E-04	 1.118145E-02	 1.600237E-02
9.289664E-04	 1.124921E-02	 1.601744E-02
9.375620E-04	 1.131706E-02	 1.603254E-02
9.462372E-04	 1.138499E-02	 1.604767E-02
9.549926E-04	 1.145296E-02	 1.606281E-02
9.638290E-04	 1.152094E-02	 1.607793E-02
9.727472E-04	 1.158890E-02	 1.609303E-02
9.817479E-04	 1.165681E-02	 1.610808E-02
9.908319E-04	 1.172464E-02	 1.612307E-02
1.000000E-03	 1.179237E-02	 1.613797E-02
1.009253E-03	 1.186008E-02	 1.615287E-02
1.018591E-03	 1.192789E-02	 1.616787E-02
1.028016E-03	 1.199578E-02	 1.618297E-02
1.037528E-03	 1.206375E-02	 1.619818E-02
1.047129E-03	 1.213180E-02	 1.621350E-02
1.056818E-03	 1.219991E-02	 1.622892E-02
1.066596E-03	 1.226809E-02	 1.624446E-02
1.076465E-03	 1.233633E-02	 1.626011E-02
1.086426E-03	 1.240462E-02	 1.627587E-02
1.096478E-03	 1.247296E-02	 1.629175E-02
1.106624E-03	 1.254134E-02	 1.630774E-02
1.116863E-03	 1.260977E-02	 1.632384E-02
1.127197E-03	 1.267822E-02	 1.634007E-02
1.137627E-03	 1.274670E-02	 1.635641E-02
1.148154E-03	 1.281519E-02	 1.637287E-02
1.158777E-03	 1.288371E-02	 1.638945E-02
1.169499E-03	 1.295223E-02	 1.640615E-02
1.180321E-03	 1.302076E-02	 1.642297E-02
1.191242E-03	 1.308929E-02	 1.643992E-02
1.202264E-03	 1.315781E-02	 1.645698E-02
1.213389E-03	 1.322621E-02	 1.647416E-02
1.224616E-03	 1.329438E-02	 1.649146E-02
1.235947E-03	 1.336238E-02	 1.650893E-02
1.247384E-03	 1.343024E-02	 1.652659E-02
1.258925E-03	 1.349801E-02	 1.654448E-02
1.270574E-03	 1.356574E-02	 1.656260E-02
1.282331E-03	 1.363346E-02	 1.658100E-02
1.294196E-03	 1.370122E-02	 1.659970E-02
1.306171E-03	 1.376906E-02	 1.661870E-02
1.318257E-03	 1.383703E-02	 1.663804E-02
1.330454E-03	 1.390516E-02	 1.665772E-02
1.342765E-03	 1.397351E-02	 1.667776E-02
1.355189E-03	 1.404211E-02	 1.669817E-02
1.367729E-03	 1.411101E-02	 1.671896E-02
1.380384E-03	 1.418025E-02	 1.674012E-02
1.393157E-03	 1.424988E-02	 1.676167E-02
1.406048E-03	 1.431993E-02	 1.678361E-02
1.419058E-03	 1.439045E-02	 1.680593E-02
1.432188E-03	 1.446148E-02	 1.682862E-02
1.445440E-03	 1.453307E-02	 1.685168E-02
1.458814E-03	 1.460505E-02	 1.687511E-02
1.472313E-03	 1.467722E-02	 1.689891E-02
1.485936E-03	 1.474961E-02	 1.692308E-02
1.499685E-03	 1.482224E-02	 1.694762E-02
1.513561E-03	 1.489513E-02	 1.697255E-02
1.527566E-03	 1.496830E-02	 1.699786E-02
1.541700E-03	 1.504177E-02	 1.702356E-02
1.555966E-03	 1.511555E-02	 1.704964E-02
1.570363E-03	 1.518968E-02	 1.707611E-02
1.584893E-03	 1.526416E-02	 1.710297E-02
1.599558E-03	 1.533902E-02	 1.713021E-02
1.614359E-03	 1.541428E-02	 1.715782E-02
1.629296E-03	 1.548996E-02	 1.718581E-02
1.644372E-03	 1.556608E-02	 1.721417E-02
