NNPDFpol 1.1, Q = 1.000 GeV
x	 x(u+-d+)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.342765E-04	 1.435324E-02	 7.948576E-03	 7.068454E-03	 6.383433E-03	 -7.284791E-03	 6.566029E-03	 -1.282655E-03	 5.764734E-03	 4.839630E-03	 7.870583E-03	 -2.754117E-03	 8.091585E-03	 -6.413277E-04	 2.882367E-03	 2.228824E-03	 4.334920E-03	 -4.530674E-03	 4.768263E-03	 -6.413277E-04	 2.882367E-03
1.355189E-04	 1.439102E-02	 7.962852E-03	 7.084330E-03	 6.392769E-03	 -7.306688E-03	 6.576800E-03	 -1.290503E-03	 5.776053E-03	 4.854101E-03	 7.881389E-03	 -2.768554E-03	 8.106988E-03	 -6.452517E-04	 2.888027E-03	 2.230229E-03	 4.341789E-03	 -4.538134E-03	 4.776323E-03	 -6.452517E-04	 2.888027E-03
1.367729E-04	 1.442882E-02	 7.977056E-03	 7.100190E-03	 6.402017E-03	 -7.328629E-03	 6.587483E-03	 -1.298403E-03	 5.787324E-03	 4.868571E-03	 7.892083E-03	 -2.783058E-03	 8.122314E-03	 -6.492014E-04	 2.893662E-03	 2.231619E-03	 4.348601E-03	 -4.545570E-03	 4.784332E-03	 -6.492014E-04	 2.893662E-03
1.380384E-04	 1.446664E-02	 7.991172E-03	 7.116031E-03	 6.411166E-03	 -7.350613E-03	 6.598064E-03	 -1.306355E-03	 5.798537E-03	 4.883034E-03	 7.902655E-03	 -2.797630E-03	 8.137549E-03	 -6.531777E-04	 2.899269E-03	 2.232997E-03	 4.355348E-03	 -4.552983E-03	 4.792285E-03	 -6.531777E-04	 2.899269E-03
1.393157E-04	 1.450449E-02	 8.005183E-03	 7.131850E-03	 6.420204E-03	 -7.372640E-03	 6.608530E-03	 -1.314363E-03	 5.809686E-03	 4.897484E-03	 7.913094E-03	 -2.812268E-03	 8.152677E-03	 -6.571815E-04	 2.904843E-03	 2.234365E-03	 4.362022E-03	 -4.560372E-03	 4.800176E-03	 -6.571815E-04	 2.904843E-03
1.406048E-04	 1.454235E-02	 8.019075E-03	 7.147643E-03	 6.429121E-03	 -7.394711E-03	 6.618868E-03	 -1.322428E-03	 5.820761E-03	 4.911919E-03	 7.923388E-03	 -2.826971E-03	 8.167682E-03	 -6.612138E-04	 2.910381E-03	 2.235725E-03	 4.368615E-03	 -4.567740E-03	 4.808000E-03	 -6.612138E-04	 2.910381E-03
1.419058E-04	 1.458023E-02	 8.032831E-03	 7.163410E-03	 6.437905E-03	 -7.416825E-03	 6.629066E-03	 -1.330551E-03	 5.831756E-03	 4.926331E-03	 7.933527E-03	 -2.841738E-03	 8.182548E-03	 -6.652754E-04	 2.915878E-03	 2.237079E-03	 4.375119E-03	 -4.575087E-03	 4.815751E-03	 -6.652754E-04	 2.915878E-03
1.432188E-04	 1.461813E-02	 8.046435E-03	 7.179145E-03	 6.446545E-03	 -7.438983E-03	 6.639110E-03	 -1.338735E-03	 5.842662E-03	 4.940717E-03	 7.943499E-03	 -2.856569E-03	 8.197261E-03	 -6.693674E-04	 2.921331E-03	 2.238429E-03	 4.381527E-03	 -4.582414E-03	 4.823425E-03	 -6.693674E-04	 2.921331E-03
1.445440E-04	 1.465603E-02	 8.059872E-03	 7.194848E-03	 6.455031E-03	 -7.461184E-03	 6.648988E-03	 -1.346981E-03	 5.853472E-03	 4.955071E-03	 7.953293E-03	 -2.871462E-03	 8.211803E-03	 -6.734905E-04	 2.926736E-03	 2.239777E-03	 4.387831E-03	 -4.589722E-03	 4.831015E-03	 -6.734905E-04	 2.926736E-03
1.458814E-04	 1.469394E-02	 8.073126E-03	 7.210514E-03	 6.463351E-03	 -7.483428E-03	 6.658686E-03	 -1.355292E-03	 5.864177E-03	 4.969389E-03	 7.962899E-03	 -2.886416E-03	 8.226160E-03	 -6.776458E-04	 2.932089E-03	 2.241125E-03	 4.394022E-03	 -4.597012E-03	 4.838517E-03	 -6.776458E-04	 2.932089E-03
