DSSV 2008, Q = 1.000 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 er    ror
1.674943E-04	 6.403763E-03	 1.979958E-03	 1.605055E-03	 1.350079E-03	 -4.798709E-03	 1.406669E-03	 -1.207862E-02	 4.671637E-03	 8.893387E-04	 8.402401E-04	 -1.894210E-03	 6.315264E-03	 -6.039310E-03	 2.335818E-03	 7.157160E-04	 6.653294E-04	 -2.904499E-03	 6.399629E-03	 -6.039310E-03	 2.335818E-03
1.690441E-04	 6.426536E-03	 1.986653E-03	 1.615136E-03	 1.357210E-03	 -4.811400E-03	 1.407528E-03	 -1.209616E-02	 4.696671E-03	 8.948653E-04	 8.447467E-04	 -1.902113E-03	 6.324780E-03	 -6.048079E-03	 2.348335E-03	 7.202711E-04	 6.690902E-04	 -2.909287E-03	 6.410392E-03	 -6.048079E-03	 2.348335E-03
1.706082E-04	 6.449474E-03	 1.993682E-03	 1.625275E-03	 1.364374E-03	 -4.824199E-03	 1.408390E-03	 -1.211360E-02	 4.721875E-03	 9.004218E-04	 8.492714E-04	 -1.910142E-03	 6.333630E-03	 -6.056800E-03	 2.360938E-03	 7.248529E-04	 6.728717E-04	 -2.914057E-03	 6.421120E-03	 -6.056800E-03	 2.360938E-03
1.721869E-04	 6.472578E-03	 2.001055E-03	 1.635470E-03	 1.371571E-03	 -4.837109E-03	 1.409256E-03	 -1.213095E-02	 4.747252E-03	 9.060081E-04	 8.538141E-04	 -1.918299E-03	 6.341798E-03	 -6.065473E-03	 2.373626E-03	 7.294615E-04	 6.766740E-04	 -2.918810E-03	 6.431810E-03	 -6.065473E-03	 2.373626E-03
1.737801E-04	 6.495852E-03	 2.008783E-03	 1.645722E-03	 1.378799E-03	 -4.850131E-03	 1.410130E-03	 -1.214819E-02	 4.772802E-03	 9.116245E-04	 8.583748E-04	 -1.926587E-03	 6.349271E-03	 -6.074097E-03	 2.386401E-03	 7.340972E-04	 6.804973E-04	 -2.923544E-03	 6.442463E-03	 -6.074097E-03	 2.386401E-03
1.753881E-04	 6.519298E-03	 2.016877E-03	 1.656031E-03	 1.386060E-03	 -4.863267E-03	 1.411016E-03	 -1.216534E-02	 4.798525E-03	 9.172711E-04	 8.629534E-04	 -1.935008E-03	 6.356034E-03	 -6.082670E-03	 2.399263E-03	 7.387599E-04	 6.843417E-04	 -2.928259E-03	 6.453078E-03	 -6.082670E-03	 2.399263E-03
1.770109E-04	 6.542917E-03	 2.025350E-03	 1.666398E-03	 1.393354E-03	 -4.876519E-03	 1.411921E-03	 -1.218239E-02	 4.824424E-03	 9.229479E-04	 8.675500E-04	 -1.943563E-03	 6.362072E-03	 -6.091194E-03	 2.412212E-03	 7.434499E-04	 6.882073E-04	 -2.932956E-03	 6.463654E-03	 -6.091194E-03	 2.412212E-03
1.786488E-04	 6.566711E-03	 2.034213E-03	 1.676823E-03	 1.400680E-03	 -4.889889E-03	 1.412852E-03	 -1.219933E-02	 4.850500E-03	 9.286552E-04	 8.721645E-04	 -1.952256E-03	 6.367371E-03	 -6.099666E-03	 2.425250E-03	 7.481674E-04	 6.920941E-04	 -2.937633E-03	 6.474191E-03	 -6.099666E-03	 2.425250E-03
1.803018E-04	 6.590684E-03	 2.043481E-03	 1.687305E-03	 1.408038E-03	 -4.903379E-03	 1.413815E-03	 -1.221617E-02	 4.876753E-03	 9.343930E-04	 8.767969E-04	 -1.961088E-03	 6.371915E-03	 -6.108086E-03	 2.438376E-03	 7.529124E-04	 6.960024E-04	 -2.942291E-03	 6.484688E-03	 -6.108086E-03	 2.438376E-03
1.819701E-04	 6.614838E-03	 2.053167E-03	 1.697847E-03	 1.415430E-03	 -4.916991E-03	 1.414822E-03	 -1.223291E-02	 4.903184E-03	 9.401615E-04	 8.814472E-04	 -1.970062E-03	 6.375689E-03	 -6.116454E-03	 2.451592E-03	 7.576852E-04	 6.999322E-04	 -2.946929E-03	 6.495145E-03	 -6.116454E-03	 2.451592E-03
1.836538E-04	 6.639174E-03	 2.063287E-03	 1.708447E-03	 1.422854E-03	 -4.930727E-03	 1.415881E-03	 -1.224954E-02	 4.929796E-03	 9.459607E-04	 8.861153E-04	 -1.979180E-03	 6.378677E-03	 -6.124769E-03	 2.464898E-03	 7.624859E-04	 7.038836E-04	 -2.951547E-03	 6.505560E-03	 -6.124769E-03	 2.464898E-03
1.853532E-04	 6.663695E-03	 2.073857E-03	 1.719105E-03	 1.430311E-03	 -4.944590E-03	 1.417006E-03	 -1.226606E-02	 4.956589E-03	 9.517908E-04	 8.908011E-04	 -1.988445E-03	 6.380864E-03	 -6.133030E-03	 2.478294E-03	 7.673146E-04	 7.078568E-04	 -2.956145E-03	 6.515935E-03	 -6.133030E-03	 2.478294E-03
1.870682E-04	 6.688404E-03	 2.084892E-03	 1.729823E-03	 1.437802E-03	 -4.958581E-03	 1.418211E-03	 -1.228247E-02	 4.983564E-03	 9.576520E-04	 8.955047E-04	 -1.997858E-03	 6.382232E-03	 -6.141236E-03	 2.491782E-03	 7.721715E-04	 7.118518E-04	 -2.960723E-03	 6.526267E-03	 -6.141236E-03	 2.491782E-03
1.887991E-04	 6.713303E-03	 2.096411E-03	 1.740601E-03	 1.445325E-03	 -4.972702E-03	 1.419510E-03	 -1.229878E-02	 5.010722E-03	 9.635442E-04	 9.002260E-04	 -2.007423E-03	 6.382767E-03	 -6.149388E-03	 2.505361E-03	 7.770568E-04	 7.158688E-04	 -2.965279E-03	 6.536556E-03	 -6.149388E-03	 2.505361E-03
