NNPDFpol 1.1, Q = 1.581 GeV
x	 x(uv-dv)	 error	 x(u+-d+)	 error
2.831392E-04	 3.576979E-03	 1.557102E-02	 1.911140E-02	 1.698446E-02
2.857591E-04	 3.601064E-03	 1.555735E-02	 1.915470E-02	 1.700448E-02
2.884032E-04	 3.625130E-03	 1.554357E-02	 1.919802E-02	 1.702456E-02
2.910717E-04	 3.649192E-03	 1.552974E-02	 1.924138E-02	 1.704473E-02
2.937650E-04	 3.673270E-03	 1.551594E-02	 1.928478E-02	 1.706497E-02
2.964831E-04	 3.697380E-03	 1.550221E-02	 1.932823E-02	 1.708530E-02
2.992265E-04	 3.721541E-03	 1.548863E-02	 1.937174E-02	 1.710571E-02
3.019952E-04	 3.745769E-03	 1.547525E-02	 1.941532E-02	 1.712621E-02
3.047895E-04	 3.770084E-03	 1.546211E-02	 1.945898E-02	 1.714679E-02
3.076097E-04	 3.794501E-03	 1.544929E-02	 1.950272E-02	 1.716746E-02
3.104560E-04	 3.819040E-03	 1.543682E-02	 1.954655E-02	 1.718821E-02
3.133286E-04	 3.843718E-03	 1.542475E-02	 1.959049E-02	 1.720905E-02
3.162278E-04	 3.868552E-03	 1.541313E-02	 1.963453E-02	 1.722996E-02
3.191538E-04	 3.893561E-03	 1.540201E-02	 1.967869E-02	 1.725096E-02
3.221069E-04	 3.918762E-03	 1.539142E-02	 1.972298E-02	 1.727203E-02
3.250873E-04	 3.944172E-03	 1.538139E-02	 1.976741E-02	 1.729318E-02
3.280953E-04	 3.969810E-03	 1.537197E-02	 1.981197E-02	 1.731439E-02
3.311311E-04	 3.995692E-03	 1.536319E-02	 1.985669E-02	 1.733566E-02
3.341950E-04	 4.021748E-03	 1.535486E-02	 1.990152E-02	 1.735700E-02
3.372873E-04	 4.047897E-03	 1.534680E-02	 1.994643E-02	 1.737842E-02
3.404082E-04	 4.074149E-03	 1.533903E-02	 1.999141E-02	 1.739992E-02
3.435579E-04	 4.100513E-03	 1.533159E-02	 2.003649E-02	 1.742150E-02
3.467369E-04	 4.126998E-03	 1.532449E-02	 2.008165E-02	 1.744316E-02
3.499452E-04	 4.153613E-03	 1.531777E-02	 2.012690E-02	 1.746491E-02
3.531832E-04	 4.180366E-03	 1.531145E-02	 2.017226E-02	 1.748673E-02
3.564511E-04	 4.207268E-03	 1.530555E-02	 2.021773E-02	 1.750864E-02
3.597493E-04	 4.234326E-03	 1.530009E-02	 2.026330E-02	 1.753062E-02
3.630781E-04	 4.261550E-03	 1.529509E-02	 2.030899E-02	 1.755268E-02
3.664376E-04	 4.288948E-03	 1.529057E-02	 2.035480E-02	 1.757481E-02
3.698282E-04	 4.316530E-03	 1.528654E-02	 2.040074E-02	 1.759702E-02
3.732502E-04	 4.344304E-03	 1.528301E-02	 2.044681E-02	 1.761929E-02
3.767038E-04	 4.372280E-03	 1.528001E-02	 2.049302E-02	 1.764164E-02
3.801894E-04	 4.400467E-03	 1.527753E-02	 2.053937E-02	 1.766404E-02
3.837072E-04	 4.428873E-03	 1.527559E-02	 2.058586E-02	 1.768650E-02
3.872576E-04	 4.457507E-03	 1.527420E-02	 2.063251E-02	 1.770902E-02
3.908409E-04	 4.486378E-03	 1.527336E-02	 2.067932E-02	 1.773158E-02
3.944573E-04	 4.515496E-03	 1.527308E-02	 2.072628E-02	 1.775419E-02
3.981072E-04	 4.544869E-03	 1.527335E-02	 2.077342E-02	 1.777685E-02
4.017908E-04	 4.574428E-03	 1.527416E-02	 2.082069E-02	 1.779958E-02
4.055085E-04	 4.604108E-03	 1.527545E-02	 2.086807E-02	 1.782242E-02
4.092607E-04	 4.633924E-03	 1.527722E-02	 2.091556E-02	 1.784536E-02
4.130475E-04	 4.663889E-03	 1.527945E-02	 2.096317E-02	 1.786839E-02
4.168694E-04	 4.694020E-03	 1.528214E-02	 2.101091E-02	 1.789149E-02
4.207266E-04	 4.724331E-03	 1.528528E-02	 2.105877E-02	 1.791466E-02
4.246196E-04	 4.754836E-03	 1.528886E-02	 2.110677E-02	 1.793789E-02
4.285485E-04	 4.785550E-03	 1.529286E-02	 2.115490E-02	 1.796115E-02
4.325138E-04	 4.816489E-03	 1.529728E-02	 2.120319E-02	 1.798444E-02
4.365158E-04	 4.847667E-03	 1.530210E-02	 2.125162E-02	 1.800775E-02
4.405549E-04	 4.879098E-03	 1.530731E-02	 2.130021E-02	 1.803106E-02
4.446313E-04	 4.910799E-03	 1.531289E-02	 2.134897E-02	 1.805436E-02
4.487454E-04	 4.942782E-03	 1.531884E-02	 2.139789E-02	 1.807764E-02
4.528976E-04	 4.975063E-03	 1.532514E-02	 2.144698E-02	 1.810089E-02
4.570882E-04	 5.007658E-03	 1.533176E-02	 2.149626E-02	 1.812408E-02
4.613176E-04	 5.040580E-03	 1.533870E-02	 2.154572E-02	 1.814722E-02
4.655861E-04	 5.073844E-03	 1.534594E-02	 2.159537E-02	 1.817027E-02
4.698941E-04	 5.107466E-03	 1.535347E-02	 2.164521E-02	 1.819324E-02
4.742420E-04	 5.141460E-03	 1.536125E-02	 2.169526E-02	 1.821610E-02
4.786301E-04	 5.175840E-03	 1.536929E-02	 2.174551E-02	 1.823885E-02
4.830588E-04	 5.210528E-03	 1.537759E-02	 2.179595E-02	 1.826153E-02
4.875285E-04	 5.245443E-03	 1.538616E-02	 2.184652E-02	 1.828421E-02
4.920395E-04	 5.280598E-03	 1.539502E-02	 2.189725E-02	 1.830687E-02
4.965923E-04	 5.316006E-03	 1.540415E-02	 2.194814E-02	 1.832951E-02
5.011872E-04	 5.351682E-03	 1.541355E-02	 2.199919E-02	 1.835212E-02
5.058247E-04	 5.387639E-03	 1.542321E-02	 2.205041E-02	 1.837468E-02
5.105050E-04	 5.423890E-03	 1.543313E-02	 2.210180E-02	 1.839719E-02
5.152286E-04	 5.460448E-03	 1.544330E-02	 2.215337E-02	 1.841963E-02
5.199960E-04	 5.497327E-03	 1.545370E-02	 2.220511E-02	 1.844199E-02
5.248075E-04	 5.534541E-03	 1.546434E-02	 2.225705E-02	 1.846426E-02
5.296634E-04	 5.572102E-03	 1.547521E-02	 2.230918E-02	 1.848644E-02
5.345644E-04	 5.610025E-03	 1.548629E-02	 2.236150E-02	 1.850850E-02
5.395106E-04	 5.648322E-03	 1.549758E-02	 2.241403E-02	 1.853044E-02
5.445027E-04	 5.687007E-03	 1.550907E-02	 2.246676E-02	 1.855225E-02
5.495409E-04	 5.726094E-03	 1.552075E-02	 2.251971E-02	 1.857392E-02
5.546257E-04	 5.765596E-03	 1.553260E-02	 2.257287E-02	 1.859542E-02
5.597576E-04	 5.805526E-03	 1.554463E-02	 2.262626E-02	 1.861676E-02
5.649370E-04	 5.845898E-03	 1.555681E-02	 2.267987E-02	 1.863792E-02
5.701643E-04	 5.886725E-03	 1.556914E-02	 2.273371E-02	 1.865888E-02
5.754399E-04	 5.928021E-03	 1.558160E-02	 2.278779E-02	 1.867964E-02
5.807644E-04	 5.969812E-03	 1.559427E-02	 2.284209E-02	 1.870018E-02
5.861382E-04	 6.012105E-03	 1.560721E-02	 2.289659E-02	 1.872050E-02
5.915616E-04	 6.054879E-03	 1.562038E-02	 2.295128E-02	 1.874060E-02
5.970353E-04	 6.098117E-03	 1.563376E-02	 2.300618E-02	 1.876051E-02
6.025596E-04	 6.141798E-03	 1.564733E-02	 2.306128E-02	 1.878023E-02
6.081350E-04	 6.185904E-03	 1.566105E-02	 2.311659E-02	 1.879977E-02
6.137620E-04	 6.230415E-03	 1.567492E-02	 2.317210E-02	 1.881914E-02
6.194411E-04	 6.275312E-03	 1.568890E-02	 2.322783E-02	 1.883835E-02
6.251727E-04	 6.320576E-03	 1.570296E-02	 2.328376E-02	 1.885742E-02
6.309573E-04	 6.366188E-03	 1.571710E-02	 2.333991E-02	 1.887635E-02
6.367955E-04	 6.412128E-03	 1.573127E-02	 2.339627E-02	 1.889516E-02
6.426877E-04	 6.458378E-03	 1.574546E-02	 2.345285E-02	 1.891385E-02
6.486344E-04	 6.504919E-03	 1.575966E-02	 2.350965E-02	 1.893244E-02
6.546362E-04	 6.551731E-03	 1.577382E-02	 2.356667E-02	 1.895093E-02
6.606934E-04	 6.598794E-03	 1.578794E-02	 2.362391E-02	 1.896934E-02
6.668068E-04	 6.646091E-03	 1.580200E-02	 2.368138E-02	 1.898767E-02
6.729767E-04	 6.693601E-03	 1.581596E-02	 2.373907E-02	 1.900594E-02
6.792036E-04	 6.741305E-03	 1.582981E-02	 2.379699E-02	 1.902416E-02
6.854882E-04	 6.789185E-03	 1.584353E-02	 2.385514E-02	 1.904233E-02
6.918310E-04	 6.837221E-03	 1.585711E-02	 2.391353E-02	 1.906047E-02
6.982324E-04	 6.885468E-03	 1.587062E-02	 2.397213E-02	 1.907855E-02
7.046931E-04	 6.933992E-03	 1.588415E-02	 2.403093E-02	 1.909652E-02
7.112135E-04	 6.982790E-03	 1.589771E-02	 2.408995E-02	 1.911439E-02
7.177943E-04	 7.031862E-03	 1.591128E-02	 2.414917E-02	 1.913215E-02
7.244360E-04	 7.081203E-03	 1.592485E-02	 2.420861E-02	 1.914980E-02
7.311391E-04	 7.130813E-03	 1.593841E-02	 2.426827E-02	 1.916735E-02
7.379042E-04	 7.180689E-03	 1.595196E-02	 2.432814E-02	 1.918479E-02
7.447320E-04	 7.230830E-03	 1.596548E-02	 2.438824E-02	 1.920212E-02
7.516229E-04	 7.281232E-03	 1.597897E-02	 2.444856E-02	 1.921934E-02
7.585776E-04	 7.331894E-03	 1.599243E-02	 2.450911E-02	 1.923645E-02
7.655966E-04	 7.382813E-03	 1.600584E-02	 2.456989E-02	 1.925345E-02
7.726806E-04	 7.433988E-03	 1.601921E-02	 2.463090E-02	 1.927034E-02
7.798301E-04	 7.485417E-03	 1.603252E-02	 2.469215E-02	 1.928711E-02
7.870458E-04	 7.537097E-03	 1.604577E-02	 2.475364E-02	 1.930377E-02
7.943282E-04	 7.589025E-03	 1.605895E-02	 2.481538E-02	 1.932031E-02
8.016781E-04	 7.641201E-03	 1.607207E-02	 2.487735E-02	 1.933673E-02
8.090959E-04	 7.693622E-03	 1.608512E-02	 2.493958E-02	 1.935304E-02
8.165824E-04	 7.746285E-03	 1.609809E-02	 2.500206E-02	 1.936923E-02
8.241381E-04	 7.799189E-03	 1.611098E-02	 2.506479E-02	 1.938529E-02
8.317638E-04	 7.852331E-03	 1.612380E-02	 2.512778E-02	 1.940124E-02
8.394600E-04	 7.905848E-03	 1.613664E-02	 2.519101E-02	 1.941696E-02
8.472274E-04	 7.959848E-03	 1.614963E-02	 2.525446E-02	 1.943236E-02
8.550667E-04	 8.014291E-03	 1.616273E-02	 2.531814E-02	 1.944748E-02
8.629785E-04	 8.069135E-03	 1.617595E-02	 2.538205E-02	 1.946236E-02
8.709636E-04	 8.124339E-03	 1.618926E-02	 2.544619E-02	 1.947702E-02
8.790225E-04	 8.179863E-03	 1.620266E-02	 2.551056E-02	 1.949149E-02
8.871560E-04	 8.235664E-03	 1.621613E-02	 2.557518E-02	 1.950582E-02
8.953648E-04	 8.291702E-03	 1.622965E-02	 2.564004E-02	 1.952004E-02
9.036495E-04	 8.347936E-03	 1.624320E-02	 2.570514E-02	 1.953417E-02
9.120108E-04	 8.404325E-03	 1.625678E-02	 2.577049E-02	 1.954825E-02
9.204496E-04	 8.460827E-03	 1.627035E-02	 2.583608E-02	 1.956231E-02
9.289664E-04	 8.517401E-03	 1.628390E-02	 2.590194E-02	 1.957639E-02
9.375620E-04	 8.574006E-03	 1.629741E-02	 2.596805E-02	 1.959051E-02
9.462372E-04	 8.630600E-03	 1.631085E-02	 2.603442E-02	 1.960472E-02
9.549926E-04	 8.687144E-03	 1.632420E-02	 2.610105E-02	 1.961904E-02
9.638290E-04	 8.743595E-03	 1.633743E-02	 2.616794E-02	 1.963351E-02
9.727472E-04	 8.799913E-03	 1.635052E-02	 2.623511E-02	 1.964816E-02
9.817479E-04	 8.856056E-03	 1.636344E-02	 2.630255E-02	 1.966303E-02
9.908319E-04	 8.911983E-03	 1.637617E-02	 2.637026E-02	 1.967814E-02
1.000000E-03	 8.967653E-03	 1.638867E-02	 2.643825E-02	 1.969353E-02
1.009253E-03	 9.023264E-03	 1.640111E-02	 2.650650E-02	 1.970904E-02
1.018591E-03	 9.079020E-03	 1.641364E-02	 2.657500E-02	 1.972450E-02
1.028016E-03	 9.134891E-03	 1.642626E-02	 2.664375E-02	 1.973995E-02
1.037528E-03	 9.190849E-03	 1.643894E-02	 2.671276E-02	 1.975539E-02
1.047129E-03	 9.246862E-03	 1.645168E-02	 2.678201E-02	 1.977086E-02
1.056818E-03	 9.302902E-03	 1.646446E-02	 2.685153E-02	 1.978638E-02
