Q2,q4f1d,q4f1dA,q4f1dB,q4f1u,q4f1uA,q4f1uB,q6f2d,q6f2dA,q6f2dB,q6f2u,q6f2uA,q6f2uB
5.297059411882376,0.1434165521393926,0.11871979980734822,0.16185251686480998,1.1734927729090812,1.1504377548194398,1.1659777268443534,-1.9488486131521363,-1.7840923855173618,-2.0547828148965244,1.8302770667696242,1.7448197091745494,1.6955658575300026
5.30506101220244,0.14330773232328634,0.11858739941818583,0.1617569709653028,1.1740621172044385,1.150974266552255,1.1665386890768774,-1.950610847534242,-1.7854066099909405,-2.0567872278071997,1.832065016266438,1.7463453676547955,1.6972219315697246
5.313062612522504,0.14319902238895965,0.11845521243496243,0.1616614672120038,1.1746302273661509,1.1515096495053838,1.167098389314761,-1.9523700098110695,-1.7867179889063038,-2.058788331981493,1.833850035136489,1.7478682231297604,1.6988752740521322
5.321064212842568,0.14309042251226123,0.11832323871892908,0.16156600602758525,1.1751971074671306,1.1520439074694342,1.1676568317797196,-1.954126107777362,-1.7880265313620753,-2.0607861348775875,1.835632130090835,1.7493882831857455,1.7005258911241816
5.329065813162632,0.14298193286543073,0.11819147812833725,0.16147058783035256,1.1757627615621615,1.1525770442172478,1.16821402067484,-1.9558791492042649,-1.7893322464226207,-2.0627806439353544,1.8374113078233953,1.7509055553848516,1.7021737889177886
5.337067413482696,0.14287355361713655,0.11805993051847823,0.16137521303428146,1.1763271936879962,1.1531090635040029,1.168769960184684,-1.9576291418393974,-1.7906351431181629,-2.064771866576363,1.8391875750109778,1.7524200472650406,1.703818973549842
5.34506901380276,0.14276528493251306,0.11792859574172404,0.1612798820490548,1.1768904078634594,1.1536399690673222,1.1693246544753848,-1.959376093406924,-1.7919352304449216,-2.0667598102039064,1.8409609383133185,1.7539317663402134,1.7054614511222197
5.353070614122824,0.14265712697319705,0.11779747364756656,0.1611845952801006,1.1774524080895465,1.1541697646273812,1.1698781076947533,-1.9611200116076128,-1.793232517365239,-2.0687444822030243,1.8427314043730971,1.7554407201002757,1.7071012277218147
5.361072214442888,0.14254907989736407,0.11766656408265552,0.16108935312862918,1.178013198349523,1.1546984538870002,1.1704303239723695,-1.9628609041189091,-1.794527012807691,-2.070725889940547,1.8444989798159799,1.756946916011199,1.7087383094205615
5.369073814762952,0.1424411438597629,0.11753586689083897,0.16099415599166791,1.178572782609024,1.1552260405317618,1.1709813074196875,-1.964598778594976,-1.7958187256672382,-2.072704040765093,1.84626367125062,1.7584503615151055,1.7103727022754378
5.3770754150830165,0.14233331901175203,0.11740538191319984,0.16089900426210066,1.17913116481615,1.1557525282301044,1.1715310621301323,-1.9663336426667744,-1.7971076648053343,-2.0746789420071354,1.848025485268703,1.759951064030325,1.7120044123285207
5.3850770154030805,0.14222560550133626,0.11727510898809429,0.1608038983286999,1.1796883489015682,1.1562779206334233,1.1720795921791962,-1.9680655039421506,-1.798393839050056,-2.0766506009789847,1.8497844284449976,1.7614490309514674,1.7136334456069704
5.3930786157231445,0.14211800347319856,0.11714504795118938,0.16070883857616552,1.1802443387786026,1.1568022213761768,1.1726269016245368,-1.9697943700058578,-1.799677257196234,-2.0786190249748575,1.8515405073373394,1.762944269649495,1.7152598081230832
5.4010802160432085,0.14201051306873744,0.11701519863549972,0.1606138253851573,1.1807991383433405,1.157325434075984,1.1731729945060705,-1.9715202484196614,-1.800957928005575,-2.0805842212708656,1.8532937284867048,1.7644367874717908,1.716883505874287
5.409081816363273,0.14190313442609837,0.11688556087142368,0.16051885913233133,1.1813527514747146,1.1578475623337212,1.173717874846074,-1.9732431467223726,-1.8022358602067798,-2.082546197125068,1.855044098417204,1.7659265917422204,1.7185045448431808
5.417083416683337,0.14179586768020888,0.11675613448678028,0.16042394019037384,1.1819051820346096,1.158368609733625,1.1742615466492716,-1.9749630724299223,-1.8035110624956818,-2.0845049597774836,1.8567916236361257,1.7674136897612145,1.7201229309975459
5.425085017003401,0.141688712962813,0.11662691930684475,0.16032906892803647,1.1824564338679486,1.1588885798433908,1.1748040139029379,-1.9766800330354457,-1.804783543535364,-2.086460516450138,1.858536310633979,1.7688980888058299,1.7217386702903827
5.433086617323465,0.1415816704025031,0.11649791515438324,0.1602342457101699,1.183006510802793,1.1594074762142632,1.1753452805769842,-1.9783940360093315,-1.8060533119562772,-2.0884128743470805,1.8602781658845122,1.7703797961298153,1.7233517686599253
5.441088217643529,0.14147474012475256,0.11636912184968896,0.1601394708977573,1.1835554166504256,1.1599253023811413,1.1758853506240567,-1.9801050887992797,-1.8073203763563765,-2.090362040654417,1.8620171958447376,1.7718588189636912,1.7249622320296683
5.449089817963593,0.14136792225194855,0.11624053921061606,0.16004474484794726,1.1841031552054557,1.1604420618626703,1.176424227979627,-1.9818131988303738,-1.8085847453012383,-2.0923080225403297,1.8637534069549657,1.773335164514813,1.726570066308381
5.457091418283657,0.14126121690342383,0.11611216705261387,0.15995006791408714,1.1846497302459016,1.160957758161337,1.1769619165620855,-1.9835183735051405,-1.8098464273241774,-2.094250827155106,1.8654868056388323,1.774808839967435,1.7281752773901329
5.465093018603721,0.14115462419549035,0.11598400518876123,0.15985544044575692,1.1851951455332834,1.1614723947635635,1.1774984202728316,-1.9852206202036409,-1.8111054309263832,-2.0961904616311884,1.867217398303353,1.7762798524827923,1.7297778711543337
5.473094618923785,0.14104814424146908,0.11585605342980008,0.1597608627887993,1.1857394048127166,1.1619859751398063,1.1780337429963639,-1.9869199462835077,-1.8123617645770367,-2.098126933083171,1.8689451913389303,1.7777482091991639,1.7313778534657276
5.481096219243849,0.14094177715172113,0.1157283115841677,0.15966633528535548,1.1862825118129967,1.1624985027446426,1.1785678886003745,-1.9886163590800139,-1.8136154367134227,-2.1000602486078717,1.8706701911193857,1.7792139172319337,1.7329752301744572
5.489097819563913,0.1408355230336793,0.11560077945803056,0.15957185827389317,1.1868244702466952,1.1630099810168677,1.1791008609358333,-1.990309865906142,-1.8148664557410663,-2.1019904152843165,1.8723924040019972,1.7806769836736718,1.7345700071160435
5.497099419883977,0.1407293819918779,0.11547345685531661,0.1594774320892416,1.1873652838102429,1.163520413379587,1.1796326638370818,-1.9920004740526391,-1.8161148300338519,-2.1039174401738103,1.8741118363275202,1.782137415594204,1.7361621901114523
5.505101020204041,0.14062335412798518,0.11534634357774658,0.15938305706262063,1.1879049561840194,1.1640298032403018,1.1801633011219201,-1.9936881907881148,-1.817360567934134,-2.1058413303199397,1.8758284944202506,1.7835952200406655,1.7377517849670865
