model:2	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.406048E-04  1.469342E-02  8.642668E-03  1.670987E-02  1.065912E-02  -4.452989E-10  0.000000E+00  0.000000E+00  -2.435581E-08  2.016451E-03  2.016451E-03  -4.196639E-10  0.000000E+00  0.000000E+00
1.419058E-04  1.476146E-02  8.682686E-03  1.678724E-02  1.070847E-02  -4.436791E-10  0.000000E+00  0.000000E+00  -2.428588E-08  2.025786E-03  2.025786E-03  -4.179503E-10  0.000000E+00  0.000000E+00
1.432188E-04  1.482982E-02  8.722891E-03  1.686498E-02  1.075806E-02  -4.420612E-10  0.000000E+00  0.000000E+00  -2.421548E-08  2.035165E-03  2.035165E-03  -4.162386E-10  0.000000E+00  0.000000E+00
1.445440E-04  1.489850E-02  8.763282E-03  1.694308E-02  1.080787E-02  -4.404454E-10  0.000000E+00  0.000000E+00  -2.414461E-08  2.044587E-03  2.044587E-03  -4.145288E-10  0.000000E+00  0.000000E+00
1.458814E-04  1.496750E-02  8.803862E-03  1.702155E-02  1.085792E-02  -4.388316E-10  0.000000E+00  0.000000E+00  -2.407326E-08  2.054053E-03  2.054053E-03  -4.128210E-10  0.000000E+00  0.000000E+00
1.472313E-04  1.503681E-02  8.844631E-03  1.710038E-02  1.090819E-02  -4.372198E-10  0.000000E+00  0.000000E+00  -2.400143E-08  2.063563E-03  2.063563E-03  -4.111150E-10  0.000000E+00  0.000000E+00
1.485936E-04  1.510646E-02  8.885589E-03  1.717958E-02  1.095871E-02  -4.356100E-10  0.000000E+00  0.000000E+00  -2.392914E-08  2.073118E-03  2.073118E-03  -4.094109E-10  0.000000E+00  0.000000E+00
1.499685E-04  1.517642E-02  8.926738E-03  1.725914E-02  1.100946E-02  -4.340022E-10  0.000000E+00  0.000000E+00  -2.385638E-08  2.082717E-03  2.082717E-03  -4.077087E-10  0.000000E+00  0.000000E+00
1.513561E-04  1.524672E-02  8.968079E-03  1.733908E-02  1.106044E-02  -4.323965E-10  0.000000E+00  0.000000E+00  -2.378316E-08  2.092360E-03  2.092360E-03  -4.060084E-10  0.000000E+00  0.000000E+00
1.527566E-04  1.531734E-02  9.009613E-03  1.741939E-02  1.111166E-02  -4.307928E-10  0.000000E+00  0.000000E+00  -2.370948E-08  2.102049E-03  2.102049E-03  -4.043101E-10  0.000000E+00  0.000000E+00
1.541700E-04  1.538829E-02  9.051340E-03  1.750007E-02  1.116312E-02  -4.291910E-10  0.000000E+00  0.000000E+00  -2.363534E-08  2.111782E-03  2.111782E-03  -4.026136E-10  0.000000E+00  0.000000E+00
1.555966E-04  1.545957E-02  9.093261E-03  1.758113E-02  1.121482E-02  -4.275913E-10  0.000000E+00  0.000000E+00  -2.356074E-08  2.121561E-03  2.121561E-03  -4.009191E-10  0.000000E+00  0.000000E+00
1.570363E-04  1.553118E-02  9.135377E-03  1.766257E-02  1.126676E-02  -4.259937E-10  0.000000E+00  0.000000E+00  -2.348569E-08  2.131386E-03  2.131386E-03  -3.992265E-10  0.000000E+00  0.000000E+00
1.584893E-04  1.560313E-02  9.177690E-03  1.774438E-02  1.131895E-02  -4.243980E-10  0.000000E+00  0.000000E+00  -2.341019E-08  2.141256E-03  2.141256E-03  -3.975358E-10  0.000000E+00  0.000000E+00
1.599558E-04  1.567541E-02  9.220200E-03  1.782658E-02  1.137137E-02  -4.228044E-10  0.000000E+00  0.000000E+00  -2.333424E-08  2.151172E-03  2.151172E-03  -3.958470E-10  0.000000E+00  0.000000E+00
1.614359E-04  1.574803E-02  9.262908E-03  1.790916E-02  1.142404E-02  -4.212128E-10  0.000000E+00  0.000000E+00  -2.325785E-08  2.161134E-03  2.161134E-03  -3.941601E-10  0.000000E+00  0.000000E+00
